,"Europe","Spain"
"1971-01-01 00:00:00",10689981439227.414,381344242904.4848
"1975-01-01 00:00:00",11419202005329.074,467348012271.22577
"1980-01-01 00:00:00",12567988557928.207,559582582058.7578
"1985-01-01 00:00:00",12546334900798.818,551798844827.1155
"1990-01-01 00:00:00",13368615220000,704964080000
"1995-01-01 00:00:00",13553916010000,800841800000
"2000-01-01 00:00:00",14273813010000,994295220000
"2005-01-01 00:00:00",15094914270000,1186957800000
"2010-01-01 00:00:00",14869664430000,1072739570000
"2015-01-01 00:00:00",14005206530000,926817960000
