"","value","percentage","datetime"
"1",7.95,7.58343915013132e-05,"2015-01-01T00:00:00.000+01:00"
"2",7.95,7.58326409670132e-05,"2015-02-01T00:00:00.000+01:00"
"3",7.95,7.58324840015636e-05,"2015-03-01T00:00:00.000+01:00"
"4",7.95,7.58341860625237e-05,"2015-04-01T00:00:00.000+02:00"
"5",7.95,7.58577189341553e-05,"2015-05-01T00:00:00.000+02:00"
"6",7.95,7.58624211803758e-05,"2015-06-01T00:00:00.000+02:00"
"7",7.95,7.58601785647456e-05,"2015-07-01T00:00:00.000+02:00"
"8",7.95,7.5874126484803e-05,"2015-08-01T00:00:00.000+02:00"
"9",7.95,7.58980631157982e-05,"2015-09-01T00:00:00.000+02:00"
"10",7.95,7.52663562738939e-05,"2015-10-01T00:00:00.000+02:00"
"11",7.95,7.52636877501021e-05,"2015-11-01T00:00:00.000+01:00"
"12",7.95,7.52436695252983e-05,"2015-12-01T00:00:00.000+01:00"
"13",7.95,7.52634875293797e-05,"2016-01-01T00:00:00.000+01:00"
"14",7.95,7.55763998118176e-05,"2016-02-01T00:00:00.000+01:00"
"15",7.95,7.58854283139663e-05,"2016-03-01T00:00:00.000+01:00"
"16",7.95,7.59460854631521e-05,"2016-04-01T00:00:00.000+02:00"
"17",7.95,7.59856006235445e-05,"2016-05-01T00:00:00.000+02:00"
"18",7.95,7.60026266507771e-05,"2016-06-01T00:00:00.000+02:00"
"19",7.95,7.60059792900055e-05,"2016-07-01T00:00:00.000+02:00"
"20",7.95,7.60057104285304e-05,"2016-08-01T00:00:00.000+02:00"
"21",7.95,7.60117784409829e-05,"2016-09-01T00:00:00.000+02:00"
"22",7.95,7.60136884302749e-05,"2016-10-01T00:00:00.000+02:00"
"23",7.95,7.60365008870734e-05,"2016-11-01T00:00:00.000+01:00"
"24",7.95,7.60353133244541e-05,"2016-12-01T00:00:00.000+01:00"
"25",7.95,7.60384673919888e-05,"2017-01-01T00:00:00.000+01:00"
"26",7.95,7.60537803736915e-05,"2017-02-01T00:00:00.000+01:00"
"27",7.95,7.60529123931866e-05,"2017-03-01T00:00:00.000+01:00"
"28",7.95,7.6053618853606e-05,"2017-04-01T00:00:00.000+02:00"
"29",7.95,7.60573543630101e-05,"2017-05-01T00:00:00.000+02:00"
"30",7.95,7.60686795498177e-05,"2017-06-01T00:00:00.000+02:00"
"31",7.95,7.6080502473535e-05,"2017-07-01T00:00:00.000+02:00"
"32",7.95,7.60941746482676e-05,"2017-08-01T00:00:00.000+02:00"
"33",7.95,7.60907494073584e-05,"2017-09-01T00:00:00.000+02:00"
"34",7.95,7.60992435218293e-05,"2017-10-01T00:00:00.000+02:00"
"35",7.95,7.64418078804869e-05,"2017-11-01T00:00:00.000+01:00"
"36",7.95,7.64130370906575e-05,"2017-12-01T00:00:00.000+01:00"
"37",7.95,7.64136246626963e-05,"2018-01-01T00:00:00.000+01:00"
"38",7.95,7.63899511949887e-05,"2018-02-01T00:00:00.000+01:00"
"39",7.95,7.63796690195127e-05,"2018-03-01T00:00:00.000+01:00"
"40",7.95,7.63706177122618e-05,"2018-04-01T00:00:00.000+02:00"
"41",7.95,7.63571855828644e-05,"2018-05-01T00:00:00.000+02:00"
"42",7.95,7.63561456554851e-05,"2018-06-01T00:00:00.000+02:00"
"43",7.95,7.63558508434267e-05,"2018-07-01T00:00:00.000+02:00"
"44",7.95,7.65755779137193e-05,"2018-08-01T00:00:00.000+02:00"
"45",7.95,7.65652434976028e-05,"2018-09-01T00:00:00.000+02:00"
"46",7.95,7.65309982888246e-05,"2018-10-01T00:00:00.000+02:00"
"47",7.95,7.64527501088009e-05,"2018-11-01T00:00:00.000+01:00"
"48",7.95,7.63680229009545e-05,"2018-12-01T00:00:00.000+01:00"
"49",7.95,7.63448014332694e-05,"2019-01-01T00:00:00.000+01:00"
"50",7.95,7.6187422669766e-05,"2019-02-01T00:00:00.000+01:00"
"51",7.95,7.64237866815431e-05,"2019-03-01T00:00:00.000+01:00"
"52",7.95,7.60278833553245e-05,"2019-04-01T00:00:00.000+02:00"
"53",7.95,7.59177815200841e-05,"2019-05-01T00:00:00.000+02:00"
"54",7.95,7.57609609600337e-05,"2019-06-01T00:00:00.000+02:00"
"55",7.95,7.55938553434843e-05,"2019-07-01T00:00:00.000+02:00"
"56",7.95,7.51166590060273e-05,"2019-08-01T00:00:00.000+02:00"
"57",7.95,7.46974092514329e-05,"2019-09-01T00:00:00.000+02:00"
"58",7.95,7.36171143141274e-05,"2019-10-01T00:00:00.000+02:00"
"59",7.95,7.26350367790478e-05,"2019-11-01T00:00:00.000+01:00"
"60",7.95,7.22701038679569e-05,"2019-12-01T00:00:00.000+01:00"
"61",7.95,7.22843643982648e-05,"2020-01-01T00:00:00.000+01:00"
"62",7.95,7.22532169336129e-05,"2020-02-01T00:00:00.000+01:00"
"63",7.95,7.16843118126179e-05,"2020-03-01T00:00:00.000+01:00"
"64",7.95,7.16172994208214e-05,"2020-04-01T00:00:00.000+02:00"
"65",7.95,7.13545646282391e-05,"2020-05-01T00:00:00.000+02:00"
"66",7.95,7.11716519961898e-05,"2020-06-01T00:00:00.000+02:00"
"67",7.95,7.09413553782301e-05,"2020-07-01T00:00:00.000+02:00"
"68",7.95,7.14648361408841e-05,"2020-08-01T00:00:00.000+02:00"
"69",7.95,7.104390919298e-05,"2020-09-01T00:00:00.000+02:00"
"70",7.95,7.17136243870921e-05,"2020-10-01T00:00:00.000+02:00"
"71",7.95,7.17336068293642e-05,"2020-11-01T00:00:00.000+01:00"
"72",7.95,7.17346172151496e-05,"2020-12-01T00:00:00.000+01:00"
"73",7.95,7.18811507830466e-05,"2021-01-01T00:00:00.000+01:00"
"74",7.95,7.19181368603411e-05,"2021-02-01T00:00:00.000+01:00"
"75",7.95,7.17008413620238e-05,"2021-03-01T00:00:00.000+01:00"
"76",7.95,7.1559250965287e-05,"2021-04-01T00:00:00.000+02:00"
"77",7.95,7.12719677686466e-05,"2021-05-01T00:00:00.000+02:00"
"78",7.95,7.09996696327322e-05,"2021-06-01T00:00:00.000+02:00"
"79",7.95,7.07883206429909e-05,"2021-07-01T00:00:00.000+02:00"
"80",7.95,7.06940393987218e-05,"2021-08-01T00:00:00.000+02:00"
"81",7.95,7.05434132150972e-05,"2021-09-01T00:00:00.000+02:00"
"82",7.95,7.03590562473395e-05,"2021-10-01T00:00:00.000+02:00"
"83",7.95,7.00929295586777e-05,"2021-11-01T00:00:00.000+01:00"
"84",7.95,7.02568748649765e-05,"2021-12-01T00:00:00.000+01:00"
"85",7.95,7.00272574272979e-05,"2022-01-01T00:00:00.000+01:00"
"86",7.95,6.98636894388695e-05,"2022-02-01T00:00:00.000+01:00"
"87",7.95,6.98532384339161e-05,"2022-03-01T00:00:00.000+01:00"
"88",7.95,6.96290910868063e-05,"2022-04-01T00:00:00.000+02:00"
