"","value","percentage","datetime"
"1",627410.852,1,"2011-01-01T00:00:00.000+01:00"
"2",685838.021,1,"2011-01-02T00:00:00.000+01:00"
"3",842917.239,1,"2011-01-03T00:00:00.000+01:00"
"4",871499.828,1,"2011-01-04T00:00:00.000+01:00"
"5",838808.749,1,"2011-01-05T00:00:00.000+01:00"
"6",735446.029,1,"2011-01-06T00:00:00.000+01:00"
"7",792363.673,1,"2011-01-07T00:00:00.000+01:00"
"8",764465.467,1,"2011-01-08T00:00:00.000+01:00"
"9",695752.771,1,"2011-01-09T00:00:00.000+01:00"
"10",883448.037,1,"2011-01-10T00:00:00.000+01:00"
"11",910077.697,1,"2011-01-11T00:00:00.000+01:00"
"12",892782.734,1,"2011-01-12T00:00:00.000+01:00"
"13",878189.566,1,"2011-01-13T00:00:00.000+01:00"
"14",865908.931,1,"2011-01-14T00:00:00.000+01:00"
"15",740805.414,1,"2011-01-15T00:00:00.000+01:00"
"16",689975.351,1,"2011-01-16T00:00:00.000+01:00"
"17",857485.386,1,"2011-01-17T00:00:00.000+01:00"
"18",895281.25,1,"2011-01-18T00:00:00.000+01:00"
"19",899424.709,1,"2011-01-19T00:00:00.000+01:00"
"20",874608.244,1,"2011-01-20T00:00:00.000+01:00"
"21",892477.166,1,"2011-01-21T00:00:00.000+01:00"
"22",826241.474,1,"2011-01-22T00:00:00.000+01:00"
"23",778899.22,1,"2011-01-23T00:00:00.000+01:00"
"24",933095.572,1,"2011-01-24T00:00:00.000+01:00"
"25",952908.23,1,"2011-01-25T00:00:00.000+01:00"
"26",955246.931,1,"2011-01-26T00:00:00.000+01:00"
"27",949388.831,1,"2011-01-27T00:00:00.000+01:00"
"28",940287.072,1,"2011-01-28T00:00:00.000+01:00"
"29",800570.274,1,"2011-01-29T00:00:00.000+01:00"
"30",740312.724,1,"2011-01-30T00:00:00.000+01:00"
"31",898500.152,1,"2011-01-31T00:00:00.000+01:00"
"32",925316.776,1,"2011-02-01T00:00:00.000+01:00"
"33",925409.824,1,"2011-02-02T00:00:00.000+01:00"
"34",901282.756,1,"2011-02-03T00:00:00.000+01:00"
"35",884828.013,1,"2011-02-04T00:00:00.000+01:00"
"36",778230.388,1,"2011-02-05T00:00:00.000+01:00"
"37",712456.855,1,"2011-02-06T00:00:00.000+01:00"
"38",840110.879,1,"2011-02-07T00:00:00.000+01:00"
"39",848092.958,1,"2011-02-08T00:00:00.000+01:00"
"40",853715.617,1,"2011-02-09T00:00:00.000+01:00"
"41",858590.04,1,"2011-02-10T00:00:00.000+01:00"
"42",852481.786,1,"2011-02-11T00:00:00.000+01:00"
"43",760143.141,1,"2011-02-12T00:00:00.000+01:00"
"44",721397.106,1,"2011-02-13T00:00:00.000+01:00"
