"","value","percentage","datetime"
"1",17007.899,0.162236939796326,"2015-01-01T00:00:00.000+01:00"
"2",17010.249,0.162255610714025,"2015-02-01T00:00:00.000+01:00"
"3",17010.249,0.162255274862278,"2015-03-01T00:00:00.000+01:00"
"4",17010.189,0.162258344350276,"2015-04-01T00:00:00.000+02:00"
"5",17010.189,0.162308696374699,"2015-05-01T00:00:00.000+02:00"
"6",17010.189,0.162318757518968,"2015-06-01T00:00:00.000+02:00"
"7",17012.914,0.162339961502725,"2015-07-01T00:00:00.000+02:00"
"8",17012.914,0.162369809900764,"2015-08-01T00:00:00.000+02:00"
"9",17012.914,0.162421034032157,"2015-09-01T00:00:00.000+02:00"
"10",17012.914,0.16106918822404,"2015-10-01T00:00:00.000+02:00"
"11",17015.721,0.161090051847403,"2015-11-01T00:00:00.000+01:00"
"12",17042.481,0.161300479025808,"2015-12-01T00:00:00.000+01:00"
"13",17042.481,0.161342963045684,"2016-01-01T00:00:00.000+01:00"
"14",17042.481,0.162013755703309,"2016-02-01T00:00:00.000+01:00"
"15",17048.826,0.162736787831482,"2016-03-01T00:00:00.000+01:00"
"16",17048.871,0.162867297360535,"2016-04-01T00:00:00.000+02:00"
"17",17049.146,0.162954666531887,"2016-05-01T00:00:00.000+02:00"
"18",17049.511,0.162994669070606,"2016-06-01T00:00:00.000+02:00"
"19",17049.511,0.163001859115814,"2016-07-01T00:00:00.000+02:00"
"20",17049.511,0.16300128251749,"2016-08-01T00:00:00.000+02:00"
"21",17049.511,0.163014295931962,"2016-09-01T00:00:00.000+02:00"
"22",17049.511,0.163018392080823,"2016-10-01T00:00:00.000+02:00"
"23",17049.511,0.163067315506373,"2016-11-01T00:00:00.000+01:00"
"24",17049.511,0.163064768668393,"2016-12-01T00:00:00.000+01:00"
"25",17049.511,0.163071532858221,"2017-01-01T00:00:00.000+01:00"
"26",17049.511,0.163104372965137,"2017-02-01T00:00:00.000+01:00"
"27",17050.698,0.163113866822224,"2017-03-01T00:00:00.000+01:00"
"28",17050.568,0.163114138353395,"2017-04-01T00:00:00.000+02:00"
"29",17050.783,0.163124206892803,"2017-05-01T00:00:00.000+02:00"
"30",17053.655,0.163175977024924,"2017-06-01T00:00:00.000+02:00"
"31",17053.615,0.163200955747197,"2017-07-01T00:00:00.000+02:00"
"32",17053.915,0.163233155527888,"2017-08-01T00:00:00.000+02:00"
"33",17053.915,0.1632258078842,"2017-09-01T00:00:00.000+02:00"
"34",17053.915,0.163244029004475,"2017-10-01T00:00:00.000+02:00"
"35",17053.725,0.163977052842347,"2017-11-01T00:00:00.000+01:00"
"36",17053.725,0.16391533596967,"2017-12-01T00:00:00.000+01:00"
"37",17057.94,0.16395711002249,"2018-01-01T00:00:00.000+01:00"
"38",17064.24,0.163966850412525,"2018-02-01T00:00:00.000+01:00"
"39",17064.24,0.163944780285475,"2018-03-01T00:00:00.000+01:00"
"40",17064.252,0.163925467426126,"2018-04-01T00:00:00.000+02:00"
"41",17064.292,0.163897020262162,"2018-05-01T00:00:00.000+02:00"
"42",17064.292,0.163894788108142,"2018-06-01T00:00:00.000+02:00"
"43",17064.379,0.163894990900592,"2018-07-01T00:00:00.000+02:00"
"44",17064.379,0.164366626875942,"2018-08-01T00:00:00.000+02:00"
"45",17064.379,0.164344444436526,"2018-09-01T00:00:00.000+02:00"
"46",17064.379,0.164270938370925,"2018-10-01T00:00:00.000+02:00"
"47",17064.379,0.164102981565896,"2018-11-01T00:00:00.000+01:00"
"48",17064.379,0.163921117768876,"2018-12-01T00:00:00.000+01:00"
"49",17064.379,0.163871273753088,"2019-01-01T00:00:00.000+01:00"
"50",17064.379,0.163533466096865,"2019-02-01T00:00:00.000+01:00"
"51",17098.474,0.16436856975546,"2019-03-01T00:00:00.000+01:00"
"52",17098.474,0.163517080103906,"2019-04-01T00:00:00.000+02:00"
"53",17098.496,0.163280488509438,"2019-05-01T00:00:00.000+02:00"
"54",17098.496,0.162943206029093,"2019-06-01T00:00:00.000+02:00"
"55",17098.496,0.162583802920144,"2019-07-01T00:00:00.000+02:00"
"56",17098.496,0.161557470886531,"2019-08-01T00:00:00.000+02:00"
"57",17098.496,0.160655767710187,"2019-09-01T00:00:00.000+02:00"
"58",17098.496,0.158332318821591,"2019-10-01T00:00:00.000+02:00"
"59",17098.566,0.156220750978488,"2019-11-01T00:00:00.000+01:00"
"60",17098.566,0.155435866768945,"2019-12-01T00:00:00.000+01:00"
"61",17098.566,0.155466537790161,"2020-01-01T00:00:00.000+01:00"
"62",17098.566,0.155399546975056,"2020-02-01T00:00:00.000+01:00"
"63",17098.566,0.154175966879576,"2020-03-01T00:00:00.000+01:00"
"64",17098.566,0.154031839105494,"2020-04-01T00:00:00.000+02:00"
"65",17098.566,0.153466758829838,"2020-05-01T00:00:00.000+02:00"
"66",17098.566,0.153073357105143,"2020-06-01T00:00:00.000+02:00"
"67",17098.566,0.152578043655864,"2020-07-01T00:00:00.000+02:00"
"68",17099.036,0.153708151686425,"2020-08-01T00:00:00.000+02:00"
"69",17099.036,0.152802812688238,"2020-09-01T00:00:00.000+02:00"
"70",17099.036,0.154243250954134,"2020-10-01T00:00:00.000+02:00"
"71",17099.036,0.154286229633351,"2020-11-01T00:00:00.000+01:00"
"72",17098.461,0.154283214440649,"2020-12-01T00:00:00.000+01:00"
"73",17098.461,0.154598371484156,"2021-01-01T00:00:00.000+01:00"
"74",17093.961,0.154637210903564,"2021-02-01T00:00:00.000+01:00"
"75",17093.961,0.154169985649009,"2021-03-01T00:00:00.000+01:00"
"76",17093.961,0.15386554027545,"2021-04-01T00:00:00.000+02:00"
"77",17093.961,0.15324782860761,"2021-05-01T00:00:00.000+02:00"
"78",17093.961,0.15266233757419,"2021-06-01T00:00:00.000+02:00"
"79",17093.961,0.152207898405884,"2021-07-01T00:00:00.000+02:00"
"80",17093.961,0.152005176404304,"2021-08-01T00:00:00.000+02:00"
"81",17094.125,0.151682757663588,"2021-09-01T00:00:00.000+02:00"
"82",17094.125,0.151286352499881,"2021-10-01T00:00:00.000+02:00"
"83",17094.125,0.150714125722293,"2021-11-01T00:00:00.000+01:00"
"84",17094.125,0.151066641641669,"2021-12-01T00:00:00.000+01:00"
"85",17094.125,0.150572917216278,"2022-01-01T00:00:00.000+01:00"
"86",17094.125,0.150221212607448,"2022-02-01T00:00:00.000+01:00"
"87",17094.125,0.150198740810587,"2022-03-01T00:00:00.000+01:00"
"88",17094.125,0.149716778198019,"2022-04-01T00:00:00.000+02:00"
