"","value","percentage","datetime"
"1",11.32,0.000107980542364134,"2015-01-01T00:00:00.000+01:00"
"2",11.32,0.000107978049779445,"2015-02-01T00:00:00.000+01:00"
"3",11.32,0.00010797782627644,"2015-03-01T00:00:00.000+01:00"
"4",11.32,0.000107980249839971,"2015-04-01T00:00:00.000+02:00"
"5",11.32,0.000108013758281087,"2015-05-01T00:00:00.000+02:00"
"6",11.32,0.000108020453806522,"2015-06-01T00:00:00.000+02:00"
"7",11.32,0.000108017260547537,"2015-07-01T00:00:00.000+02:00"
"8",11.32,0.000108037120982135,"2015-08-01T00:00:00.000+02:00"
"9",11.32,0.000108071204335954,"2015-09-01T00:00:00.000+02:00"
"10",11.32,0.000107171717361066,"2015-10-01T00:00:00.000+02:00"
"11",11.32,0.000107167917651718,"2015-11-01T00:00:00.000+01:00"
"12",11.32,0.00010713941371401,"2015-12-01T00:00:00.000+01:00"
"13",11.32,0.000107167632557557,"2016-01-01T00:00:00.000+01:00"
"14",11.32,0.00010761318815972,"2016-02-01T00:00:00.000+01:00"
"15",11.32,0.000108053213649572,"2016-03-01T00:00:00.000+01:00"
"16",11.32,0.000108139583326149,"2016-04-01T00:00:00.000+02:00"
"17",11.32,0.000108195848938179,"2016-05-01T00:00:00.000+02:00"
"18",11.32,0.000108220092287647,"2016-06-01T00:00:00.000+02:00"
"19",11.32,0.000108224866108536,"2016-07-01T00:00:00.000+02:00"
"20",11.32,0.000108224483276851,"2016-08-01T00:00:00.000+02:00"
"21",11.32,0.000108233123515966,"2016-09-01T00:00:00.000+02:00"
"22",11.32,0.000108235843148517,"2016-10-01T00:00:00.000+02:00"
"23",11.32,0.000108268325791405,"2016-11-01T00:00:00.000+01:00"
"24",11.32,0.000108266634821738,"2016-12-01T00:00:00.000+01:00"
"25",11.32,0.000108271125896517,"2017-01-01T00:00:00.000+01:00"
"26",11.32,0.000108292930041533,"2017-02-01T00:00:00.000+01:00"
"27",11.32,0.000108291694124638,"2017-03-01T00:00:00.000+01:00"
"28",11.32,0.000108292700053185,"2017-04-01T00:00:00.000+02:00"
"29",11.32,0.000108298019042676,"2017-05-01T00:00:00.000+02:00"
"30",11.32,0.000108314144969049,"2017-06-01T00:00:00.000+02:00"
"31",11.32,0.000108330979622694,"2017-07-01T00:00:00.000+02:00"
"32",11.32,0.000108350447423697,"2017-08-01T00:00:00.000+02:00"
"33",11.32,0.00010834557022532,"2017-09-01T00:00:00.000+02:00"
"34",11.32,0.000108357664989573,"2017-10-01T00:00:00.000+02:00"
"35",11.32,0.000108845442164417,"2017-11-01T00:00:00.000+01:00"
"36",11.32,0.000108804475454873,"2017-12-01T00:00:00.000+01:00"
"37",11.32,0.00010880531209833,"2018-01-01T00:00:00.000+01:00"
"38",11.32,0.00010877160346255,"2018-02-01T00:00:00.000+01:00"
"39",11.32,0.000108756962679357,"2018-03-01T00:00:00.000+01:00"
"40",11.32,0.000108744074528654,"2018-04-01T00:00:00.000+02:00"
"41",11.32,0.000108724948528053,"2018-05-01T00:00:00.000+02:00"
"42",11.32,0.000108723467776112,"2018-06-01T00:00:00.000+02:00"
"43",11.32,0.000108723047993408,"2018-07-01T00:00:00.000+02:00"
"44",11.32,0.000109035917230604,"2018-08-01T00:00:00.000+02:00"
"45",11.32,0.000109021202061995,"2018-09-01T00:00:00.000+02:00"
"46",11.32,0.000108972440330754,"2018-10-01T00:00:00.000+02:00"
"47",11.32,0.000108861022796431,"2018-11-01T00:00:00.000+01:00"
"48",11.32,0.000108740379778466,"2018-12-01T00:00:00.000+01:00"
"49",11.32,0.000108707314745234,"2019-01-01T00:00:00.000+01:00"
"50",11.32,0.000108483223222862,"2019-02-01T00:00:00.000+01:00"
"51",11.32,0.000108819781790575,"2019-03-01T00:00:00.000+01:00"
"52",11.32,0.000108256055293368,"2019-04-01T00:00:00.000+02:00"
"53",11.32,0.000108099281359415,"2019-05-01T00:00:00.000+02:00"
"54",11.32,0.000107875984662589,"2019-06-01T00:00:00.000+02:00"
"55",11.32,0.000107638043080282,"2019-07-01T00:00:00.000+02:00"
"56",11.32,0.0001069585635155,"2019-08-01T00:00:00.000+02:00"
"57",11.32,0.000106361594053613,"2019-09-01T00:00:00.000+02:00"
"58",11.32,0.000104823362771814,"2019-10-01T00:00:00.000+02:00"
"59",11.32,0.000103424983187273,"2019-11-01T00:00:00.000+01:00"
"60",11.32,0.000102905355444688,"2019-12-01T00:00:00.000+01:00"
"61",11.32,0.000102925661004825,"2020-01-01T00:00:00.000+01:00"
"62",11.32,0.000102881310149497,"2020-02-01T00:00:00.000+01:00"
"63",11.32,0.000102071246505514,"2020-03-01T00:00:00.000+01:00"
"64",11.32,0.000101975827602981,"2020-04-01T00:00:00.000+02:00"
"65",11.32,0.000101601719697065,"2020-05-01T00:00:00.000+02:00"
"66",11.32,0.000101341270515329,"2020-06-01T00:00:00.000+02:00"
"67",11.32,0.000101013351305857,"2020-07-01T00:00:00.000+02:00"
"68",11.32,0.000101758735234567,"2020-08-01T00:00:00.000+02:00"
"69",11.32,0.00010115937761818,"2020-09-01T00:00:00.000+02:00"
"70",11.32,0.000102112984661872,"2020-10-01T00:00:00.000+02:00"
"71",11.32,0.000102141437648856,"2020-11-01T00:00:00.000+01:00"
"72",11.32,0.00010214287633654,"2020-12-01T00:00:00.000+01:00"
"73",11.32,0.000102351525391709,"2021-01-01T00:00:00.000+01:00"
"74",11.32,0.000102404189843907,"2021-02-01T00:00:00.000+01:00"
"75",11.32,0.000102094782920517,"2021-03-01T00:00:00.000+01:00"
"76",11.32,0.000101893172443654,"2021-04-01T00:00:00.000+02:00"
"77",11.32,0.000101484110080639,"2021-05-01T00:00:00.000+02:00"
"78",11.32,0.000101096384936167,"2021-06-01T00:00:00.000+02:00"
"79",11.32,0.000100795445242598,"2021-07-01T00:00:00.000+02:00"
"80",11.32,0.00010066119823818,"2021-08-01T00:00:00.000+02:00"
"81",11.32,0.00010044672171005,"2021-09-01T00:00:00.000+02:00"
"82",11.32,0.000100184215939608,"2021-10-01T00:00:00.000+02:00"
"83",11.32,9.98052783149977e-05,"2021-11-01T00:00:00.000+01:00"
"84",11.32,0.000100038719933526,"2021-12-01T00:00:00.000+01:00"
"85",11.32,9.97117678084292e-05,"2022-01-01T00:00:00.000+01:00"
"86",11.32,9.9478863452579e-05,"2022-02-01T00:00:00.000+01:00"
"87",11.32,9.94639822731987e-05,"2022-03-01T00:00:00.000+01:00"
"88",11.32,9.91448190066223e-05,"2022-04-01T00:00:00.000+02:00"
