"","value","percentage","datetime"
"1",452.211,0.00431360327235224,"2015-01-01T00:00:00.000+01:00"
"2",452.211,0.00431350369865837,"2015-02-01T00:00:00.000+01:00"
"3",452.211,0.00431349477016743,"2015-03-01T00:00:00.000+01:00"
"4",452.211,0.00431359158660628,"2015-04-01T00:00:00.000+02:00"
"5",452.211,0.00431493018074633,"2015-05-01T00:00:00.000+02:00"
"6",452.211,0.00431519765338351,"2015-06-01T00:00:00.000+02:00"
"7",452.211,0.00431507008917512,"2015-07-01T00:00:00.000+02:00"
"8",452.211,0.00431586347318481,"2015-08-01T00:00:00.000+02:00"
"9",452.211,0.00431722503391927,"2015-09-01T00:00:00.000+02:00"
"10",452.211,0.00428129235685205,"2015-10-01T00:00:00.000+02:00"
"11",452.211,0.00428114056618382,"2015-11-01T00:00:00.000+01:00"
"12",452.211,0.00428000189178675,"2015-12-01T00:00:00.000+01:00"
"13",452.211,0.00428112917725136,"2016-01-01T00:00:00.000+01:00"
"14",452.211,0.00429892821827696,"2016-02-01T00:00:00.000+01:00"
"15",452.211,0.00431650634255183,"2016-03-01T00:00:00.000+01:00"
"16",452.211,0.00431995663564497,"2016-04-01T00:00:00.000+02:00"
"17",452.211,0.00432220433252499,"2016-05-01T00:00:00.000+02:00"
"18",452.211,0.00432317280507856,"2016-06-01T00:00:00.000+02:00"
"19",452.211,0.00432336350952361,"2016-07-01T00:00:00.000+02:00"
"20",452.211,0.00432334821617562,"2016-08-01T00:00:00.000+02:00"
"21",452.211,0.004323693376173,"2016-09-01T00:00:00.000+02:00"
"22",452.211,0.00432380201996768,"2016-10-01T00:00:00.000+02:00"
"23",440.279,0.004210977933844,"2016-11-01T00:00:00.000+01:00"
"24",440.279,0.00421091216543111,"2016-12-01T00:00:00.000+01:00"
"25",444.279,0.00424934518923842,"2017-01-01T00:00:00.000+01:00"
"26",444.279,0.00425020094221928,"2017-02-01T00:00:00.000+01:00"
"27",444.279,0.00425015243586573,"2017-03-01T00:00:00.000+01:00"
"28",444.279,0.00425019191580644,"2017-04-01T00:00:00.000+02:00"
"29",444.279,0.00425040067157783,"2017-05-01T00:00:00.000+02:00"
"30",444.279,0.00425103357002685,"2017-06-01T00:00:00.000+02:00"
"31",444.279,0.00425169428408046,"2017-07-01T00:00:00.000+02:00"
"32",444.279,0.00425245834195694,"2017-08-01T00:00:00.000+02:00"
"33",444.279,0.00425226692527695,"2017-09-01T00:00:00.000+02:00"
"34",444.279,0.00425274161165218,"2017-10-01T00:00:00.000+02:00"
"35",444.279,0.00427188552997923,"2017-11-01T00:00:00.000+01:00"
"36",444.279,0.00427027769881764,"2017-12-01T00:00:00.000+01:00"
"37",444.279,0.00427031053478215,"2018-01-01T00:00:00.000+01:00"
"38",444.279,0.00426898756313942,"2018-02-01T00:00:00.000+01:00"
"39",444.279,0.00426841295249309,"2018-03-01T00:00:00.000+01:00"
"40",444.279,0.00426790712787245,"2018-04-01T00:00:00.000+02:00"
"41",444.279,0.00426715648472571,"2018-05-01T00:00:00.000+02:00"
"42",444.279,0.00426709836926708,"2018-06-01T00:00:00.000+02:00"
"43",444.279,0.00426708189394551,"2018-07-01T00:00:00.000+02:00"
"44",444.279,0.00427936115470809,"2018-08-01T00:00:00.000+02:00"
"45",444.279,0.00427878362463792,"2018-09-01T00:00:00.000+02:00"
"46",444.279,0.00427686986022147,"2018-10-01T00:00:00.000+02:00"
"47",444.279,0.00427249702711798,"2018-11-01T00:00:00.000+01:00"
"48",444.279,0.00426776211904568,"2018-12-01T00:00:00.000+01:00"
"49",437.751,0.00420377524178807,"2019-01-01T00:00:00.000+01:00"
"50",437.751,0.00419510949196386,"2019-02-01T00:00:00.000+01:00"
"51",437.751,0.00420812440800404,"2019-03-01T00:00:00.000+01:00"
"52",437.751,0.0041863247756826,"2019-04-01T00:00:00.000+02:00"
"53",437.751,0.00418026223625136,"2019-05-01T00:00:00.000+02:00"
"54",437.751,0.00417162722279443,"2019-06-01T00:00:00.000+02:00"
"55",437.751,0.00416242588307743,"2019-07-01T00:00:00.000+02:00"
"56",437.751,0.00413615001214433,"2019-08-01T00:00:00.000+02:00"
"57",437.751,0.00411306485499673,"2019-09-01T00:00:00.000+02:00"
"58",437.751,0.00405358055448096,"2019-10-01T00:00:00.000+02:00"
"59",437.751,0.0039995044006371,"2019-11-01T00:00:00.000+01:00"
"60",437.751,0.00397941009286817,"2019-12-01T00:00:00.000+01:00"
"61",437.751,0.00398019532071759,"2020-01-01T00:00:00.000+01:00"
"62",437.751,0.00397848024728377,"2020-02-01T00:00:00.000+01:00"
"63",437.751,0.00394715461387236,"2020-03-01T00:00:00.000+01:00"
"64",437.751,0.00394346470927849,"2020-04-01T00:00:00.000+02:00"
"65",437.751,0.00392899773843727,"2020-05-01T00:00:00.000+02:00"
"66",437.751,0.00391892601672756,"2020-06-01T00:00:00.000+02:00"
"67",437.751,0.00390624518970762,"2020-07-01T00:00:00.000+02:00"
"68",437.751,0.00393506962081864,"2020-08-01T00:00:00.000+02:00"
"69",437.751,0.00391189211234417,"2020-09-01T00:00:00.000+02:00"
"70",428.071,0.00386144942201345,"2020-10-01T00:00:00.000+02:00"
"71",428.071,0.00386252538478651,"2020-11-01T00:00:00.000+01:00"
"72",428.071,0.00386257978942217,"2020-12-01T00:00:00.000+01:00"
"73",428.071,0.00387046994928925,"2021-01-01T00:00:00.000+01:00"
"74",440.861,0.00398816374017444,"2021-02-01T00:00:00.000+01:00"
"75",440.861,0.00397611378914505,"2021-03-01T00:00:00.000+01:00"
"76",440.861,0.00396826200500722,"2021-04-01T00:00:00.000+02:00"
"77",440.861,0.0039523309411891,"2021-05-01T00:00:00.000+02:00"
"78",440.861,0.00393723086213282,"2021-06-01T00:00:00.000+02:00"
"79",440.861,0.00392551067006159,"2021-07-01T00:00:00.000+02:00"
"80",440.861,0.00392028237778112,"2021-08-01T00:00:00.000+02:00"
"81",440.861,0.00391192952118503,"2021-09-01T00:00:00.000+02:00"
"82",440.861,0.00390170615047274,"2021-10-01T00:00:00.000+02:00"
"83",440.861,0.0038869483041721,"2021-11-01T00:00:00.000+01:00"
"84",440.861,0.00389603976224508,"2021-12-01T00:00:00.000+01:00"
"85",440.861,0.00388330650775547,"2022-01-01T00:00:00.000+01:00"
"86",440.861,0.00387423597354836,"2022-02-01T00:00:00.000+01:00"
"87",440.861,0.00387365642128486,"2022-03-01T00:00:00.000+01:00"
"88",440.861,0.00386122650636736,"2022-04-01T00:00:00.000+02:00"
