"","value","percentage","datetime"
"1",4678.231,0.0446252580110163,"2015-01-01T00:00:00.000+01:00"
"2",4678.301,0.0446248956061156,"2015-02-01T00:00:00.000+01:00"
"3",4678.518,0.0446268731303179,"2015-03-01T00:00:00.000+01:00"
"4",4678.625,0.0446288954423616,"2015-04-01T00:00:00.000+02:00"
"5",4678.989,0.0446462179192459,"2015-05-01T00:00:00.000+02:00"
"6",4679.518,0.0446540333883207,"2015-06-01T00:00:00.000+02:00"
"7",4679.891,0.0446562725689995,"2015-07-01T00:00:00.000+02:00"
"8",4680.004,0.0446655616912432,"2015-08-01T00:00:00.000+02:00"
"9",4680.458,0.0446839870056406,"2015-09-01T00:00:00.000+02:00"
"10",4680.571,0.0443131477297177,"2015-10-01T00:00:00.000+02:00"
"11",4680.709,0.0443128830974959,"2015-11-01T00:00:00.000+01:00"
"12",4680.958,0.0443034536872706,"2015-12-01T00:00:00.000+01:00"
"13",4680.972,0.044315255062563,"2016-01-01T00:00:00.000+01:00"
"14",4683.262,0.0445212680925148,"2016-02-01T00:00:00.000+01:00"
"15",4683.325,0.0447039149130196,"2016-03-01T00:00:00.000+01:00"
"16",4683.396,0.0447403261476459,"2016-04-01T00:00:00.000+02:00"
"17",4683.451,0.0447641304686717,"2016-05-01T00:00:00.000+02:00"
"18",4683.473,0.0447743710500622,"2016-06-01T00:00:00.000+02:00"
"19",4683.685,0.0447783729699257,"2016-07-01T00:00:00.000+02:00"
"20",4684.055,0.0447817519448188,"2016-08-01T00:00:00.000+02:00"
"21",4684.617,0.0447907005641336,"2016-09-01T00:00:00.000+02:00"
"22",4685.049,0.0447959565995687,"2016-10-01T00:00:00.000+02:00"
"23",4685.216,0.0448109975522177,"2016-11-01T00:00:00.000+01:00"
"24",4685.793,0.0448158162174256,"2016-12-01T00:00:00.000+01:00"
"25",4686.181,0.0448213863096173,"2017-01-01T00:00:00.000+01:00"
"26",4686.52,0.0448336556977249,"2017-02-01T00:00:00.000+01:00"
"27",4686.526,0.0448332014221875,"2017-03-01T00:00:00.000+01:00"
