"","value","percentage","datetime"
"1",104833.702,1,"2015-01-01T00:00:00.000+01:00"
"2",104836.122,1,"2015-02-01T00:00:00.000+01:00"
"3",104836.339,1,"2015-03-01T00:00:00.000+01:00"
"4",104833.986,1,"2015-04-01T00:00:00.000+02:00"
"5",104801.464,1,"2015-05-01T00:00:00.000+02:00"
"6",104794.968,1,"2015-06-01T00:00:00.000+02:00"
"7",104798.066,1,"2015-07-01T00:00:00.000+02:00"
"8",104778.801,1,"2015-08-01T00:00:00.000+02:00"
"9",104745.756,1,"2015-09-01T00:00:00.000+02:00"
"10",105624.882,1,"2015-10-01T00:00:00.000+02:00"
"11",105628.627,1,"2015-11-01T00:00:00.000+01:00"
"12",105656.729,1,"2015-12-01T00:00:00.000+01:00"
"13",105628.908,1,"2016-01-01T00:00:00.000+01:00"
"14",105191.568,1,"2016-02-01T00:00:00.000+01:00"
"15",104763.196,1,"2016-03-01T00:00:00.000+01:00"
"16",104679.523,1,"2016-04-01T00:00:00.000+02:00"
"17",104625.086,1,"2016-05-01T00:00:00.000+02:00"
"18",104601.648,1,"2016-06-01T00:00:00.000+02:00"
"19",104597.034,1,"2016-07-01T00:00:00.000+02:00"
"20",104597.404,1,"2016-08-01T00:00:00.000+02:00"
"21",104589.054,1,"2016-09-01T00:00:00.000+02:00"
"22",104586.426,1,"2016-10-01T00:00:00.000+02:00"
"23",104555.048,1,"2016-11-01T00:00:00.000+01:00"
"24",104556.681,1,"2016-12-01T00:00:00.000+01:00"
"25",104552.344,1,"2017-01-01T00:00:00.000+01:00"
"26",104531.293,1,"2017-02-01T00:00:00.000+01:00"
"27",104532.486,1,"2017-03-01T00:00:00.000+01:00"
"28",104531.515,1,"2017-04-01T00:00:00.000+02:00"
"29",104526.381,1,"2017-05-01T00:00:00.000+02:00"
"30",104510.819,1,"2017-06-01T00:00:00.000+02:00"
"31",104494.578,1,"2017-07-01T00:00:00.000+02:00"
"32",104475.803,1,"2017-08-01T00:00:00.000+02:00"
"33",104480.506,1,"2017-09-01T00:00:00.000+02:00"
"34",104468.844,1,"2017-10-01T00:00:00.000+02:00"
"35",104000.68,1,"2017-11-01T00:00:00.000+01:00"
"36",104039.838,1,"2017-12-01T00:00:00.000+01:00"
"37",104039.038,1,"2018-01-01T00:00:00.000+01:00"
"38",104071.28,1,"2018-02-01T00:00:00.000+01:00"
"39",104085.29,1,"2018-03-01T00:00:00.000+01:00"
"40",104097.626,1,"2018-04-01T00:00:00.000+02:00"
"41",104115.938,1,"2018-05-01T00:00:00.000+02:00"
"42",104117.356,1,"2018-06-01T00:00:00.000+02:00"
"43",104117.758,1,"2018-07-01T00:00:00.000+02:00"
"44",103819.001,1,"2018-08-01T00:00:00.000+02:00"
"45",103833.014,1,"2018-09-01T00:00:00.000+02:00"
"46",103879.476,1,"2018-10-01T00:00:00.000+02:00"
"47",103985.795,1,"2018-11-01T00:00:00.000+01:00"
"48",104101.163,1,"2018-12-01T00:00:00.000+01:00"
"49",104132.827,1,"2019-01-01T00:00:00.000+01:00"
"50",104347.932,1,"2019-02-01T00:00:00.000+01:00"
"51",104025.204,1,"2019-03-01T00:00:00.000+01:00"
"52",104566.899,1,"2019-04-01T00:00:00.000+02:00"
"53",104718.55,1,"2019-05-01T00:00:00.000+02:00"
"54",104935.311,1,"2019-06-01T00:00:00.000+02:00"
"55",105167.278,1,"2019-07-01T00:00:00.000+02:00"
"56",105835.378,1,"2019-08-01T00:00:00.000+02:00"
"57",106429.394,1,"2019-09-01T00:00:00.000+02:00"
"58",107991.193,1,"2019-10-01T00:00:00.000+02:00"
"59",109451.311,1,"2019-11-01T00:00:00.000+01:00"
"60",110003.993,1,"2019-12-01T00:00:00.000+01:00"
"61",109982.291,1,"2020-01-01T00:00:00.000+01:00"
"62",110029.703,1,"2020-02-01T00:00:00.000+01:00"
"63",110902.927,1,"2020-03-01T00:00:00.000+01:00"
"64",111006.699,1,"2020-04-01T00:00:00.000+02:00"
"65",111415.437,1,"2020-05-01T00:00:00.000+02:00"
"66",111701.777,1,"2020-06-01T00:00:00.000+02:00"
"67",112064.394,1,"2020-07-01T00:00:00.000+02:00"
"68",111243.521,1,"2020-08-01T00:00:00.000+02:00"
"69",111902.626,1,"2020-09-01T00:00:00.000+02:00"
"70",110857.596,1,"2020-10-01T00:00:00.000+02:00"
"71",110826.715,1,"2020-11-01T00:00:00.000+01:00"
"72",110825.154,1,"2020-12-01T00:00:00.000+01:00"
"73",110599.231,1,"2021-01-01T00:00:00.000+01:00"
"74",110542.352,1,"2021-02-01T00:00:00.000+01:00"
"75",110877.36,1,"2021-03-01T00:00:00.000+01:00"
"76",111096.747,1,"2021-04-01T00:00:00.000+02:00"
"77",111544.556,1,"2021-05-01T00:00:00.000+02:00"
"78",111972.352,1,"2021-06-01T00:00:00.000+02:00"
"79",112306.662,1,"2021-07-01T00:00:00.000+02:00"
"80",112456.44,1,"2021-08-01T00:00:00.000+02:00"
"81",112696.56,1,"2021-09-01T00:00:00.000+02:00"
"82",112991.851,1,"2021-10-01T00:00:00.000+02:00"
"83",113420.855,1,"2021-11-01T00:00:00.000+01:00"
"84",113156.186,1,"2021-12-01T00:00:00.000+01:00"
"85",113527.222,1,"2022-01-01T00:00:00.000+01:00"
"86",113793.017,1,"2022-02-01T00:00:00.000+01:00"
"87",113810.042,1,"2022-03-01T00:00:00.000+01:00"
"88",114176.415,1,"2022-04-01T00:00:00.000+02:00"
