"value","percentage","datetime"
22816.369,0.147924617340388,"2011-01-01T00:00:00.000+01:00"
25839.506,0.17877805396271,"2011-01-02T00:00:00.000+01:00"
34092.999,0.146755288388291,"2011-01-03T00:00:00.000+01:00"
35383.573,0.145870460051276,"2011-01-04T00:00:00.000+01:00"
34360.006,0.207416579327058,"2011-01-05T00:00:00.000+01:00"
31429.723,0.311936429594181,"2011-01-06T00:00:00.000+01:00"
34033.66,0.340612680201811,"2011-01-07T00:00:00.000+01:00"
27724.789,0.31487846422184,"2011-01-08T00:00:00.000+01:00"
28099.329,0.24997048098378,"2011-01-09T00:00:00.000+01:00"
34512.032,0.194476782234053,"2011-01-10T00:00:00.000+01:00"
34192.545,0.203892454336156,"2011-01-11T00:00:00.000+01:00"
34194.063,0.175546997254482,"2011-01-12T00:00:00.000+01:00"
34341.261,0.157257484926125,"2011-01-13T00:00:00.000+01:00"
35241.692,0.157193615983265,"2011-01-14T00:00:00.000+01:00"
28778.924,0.163977542396061,"2011-01-15T00:00:00.000+01:00"
28430.874,0.192742709592152,"2011-01-16T00:00:00.000+01:00"
33876.079,0.140932464605726,"2011-01-17T00:00:00.000+01:00"
34136.258,0.129616049377175,"2011-01-18T00:00:00.000+01:00"
34187.766,0.130644674932573,"2011-01-19T00:00:00.000+01:00"
34605.949,0.157142455012956,"2011-01-20T00:00:00.000+01:00"
35178.274,0.23643971053117,"2011-01-21T00:00:00.000+01:00"
29190.741,0.280598002896575,"2011-01-22T00:00:00.000+01:00"
29301.654,0.258875184906404,"2011-01-23T00:00:00.000+01:00"
35087.5,0.185772784977146,"2011-01-24T00:00:00.000+01:00"
35051.168,0.151845914101892,"2011-01-25T00:00:00.000+01:00"
35151.642,0.131575197990275,"2011-01-26T00:00:00.000+01:00"
34745.421,0.129149366083714,"2011-01-27T00:00:00.000+01:00"
35303.265,0.137329413839765,"2011-01-28T00:00:00.000+01:00"
29621.495,0.146797303197074,"2011-01-29T00:00:00.000+01:00"
29405.127,0.165068196307356,"2011-01-30T00:00:00.000+01:00"
35466.998,0.149763452947244,"2011-01-31T00:00:00.000+01:00"
35362.359,0.145911899906526,"2011-02-01T00:00:00.000+01:00"
35436.827,0.151634301790037,"2011-02-02T00:00:00.000+01:00"
35557.889,0.143824574243267,"2011-02-03T00:00:00.000+01:00"
36161.667,0.140507822919486,"2011-02-04T00:00:00.000+01:00"
30205.138,0.130097523293876,"2011-02-05T00:00:00.000+01:00"
29664.023,0.144896407770062,"2011-02-06T00:00:00.000+01:00"
35437.043,0.137462706686791,"2011-02-07T00:00:00.000+01:00"
34611.945,0.12840395580674,"2011-02-08T00:00:00.000+01:00"
35075.716,0.133715191982257,"2011-02-09T00:00:00.000+01:00"
34821.409,0.135168712763342,"2011-02-10T00:00:00.000+01:00"
35475.044,0.138369189117539,"2011-02-11T00:00:00.000+01:00"
29258.436,0.128332181089106,"2011-02-12T00:00:00.000+01:00"
28767.341,0.179673119591039,"2011-02-13T00:00:00.000+01:00"
34558.635,0.166568688019939,"2011-02-14T00:00:00.000+01:00"
35557.326,0.144279317458328,"2011-02-15T00:00:00.000+01:00"
35131.262,0.169361291369662,"2011-02-16T00:00:00.000+01:00"
35676.722,0.181704878083898,"2011-02-17T00:00:00.000+01:00"
36001.454,0.175445580516452,"2011-02-18T00:00:00.000+01:00"
29927.006,0.157221955480868,"2011-02-19T00:00:00.000+01:00"
29582.099,0.219842992408791,"2011-02-20T00:00:00.000+01:00"
35086.254,0.239706530169796,"2011-02-21T00:00:00.000+01:00"
34766.431,0.233842727857091,"2011-02-22T00:00:00.000+01:00"
33073.49,0.165026107523806,"2011-02-23T00:00:00.000+01:00"
34735.749,0.153203173089284,"2011-02-24T00:00:00.000+01:00"
35966.41,0.164950498124555,"2011-02-25T00:00:00.000+01:00"
29734.926,0.190801839748835,"2011-02-26T00:00:00.000+01:00"
29461.824,0.233855486970924,"2011-02-27T00:00:00.000+01:00"
35366.112,0.211681705870225,"2011-02-28T00:00:00.000+01:00"
35994.075,0.178985270498671,"2011-03-01T00:00:00.000+01:00"
35707.741,0.167261956575215,"2011-03-02T00:00:00.000+01:00"
35664.508,0.14677550226815,"2011-03-03T00:00:00.000+01:00"
36228.219,0.141647907594512,"2011-03-04T00:00:00.000+01:00"
29829.454,0.162015479914685,"2011-03-05T00:00:00.000+01:00"
29521.311,0.167723324028663,"2011-03-06T00:00:00.000+01:00"
34985.41,0.176007746363057,"2011-03-07T00:00:00.000+01:00"
34391.943,0.186721279437697,"2011-03-08T00:00:00.000+01:00"
35188.072,0.159960309122619,"2011-03-09T00:00:00.000+01:00"
35756.431,0.151101442752482,"2011-03-10T00:00:00.000+01:00"
35970.038,0.158541738071713,"2011-03-11T00:00:00.000+01:00"
29401.742,0.14850939671122,"2011-03-12T00:00:00.000+01:00"
29481.181,0.156828728620959,"2011-03-13T00:00:00.000+01:00"
35032.215,0.160515805523044,"2011-03-14T00:00:00.000+01:00"
34655.968,0.155180719322315,"2011-03-15T00:00:00.000+01:00"
35576.11,0.19110289838643,"2011-03-16T00:00:00.000+01:00"
36008.407,0.176064495947856,"2011-03-17T00:00:00.000+01:00"
36650.394,0.167371456564012,"2011-03-18T00:00:00.000+01:00"
30765.567,0.17481807024693,"2011-03-19T00:00:00.000+01:00"
30001.599,0.177459578297006,"2011-03-20T00:00:00.000+01:00"
36001.951,0.163001273061506,"2011-03-21T00:00:00.000+01:00"
36357.942,0.189423805707779,"2011-03-22T00:00:00.000+01:00"
35663.656,0.194905760046507,"2011-03-23T00:00:00.000+01:00"
35345.522,0.183536226792571,"2011-03-24T00:00:00.000+01:00"
35948.376,0.159184669856538,"2011-03-25T00:00:00.000+01:00"
29013.42,0.164850082517599,"2011-03-26T00:00:00.000+01:00"
27569.752,0.273003094122312,"2011-03-27T00:00:00.000+01:00"
34838.481,0.185431319386885,"2011-03-28T00:00:00.000+02:00"
35240.947,0.159064885914815,"2011-03-29T00:00:00.000+02:00"
35223.6,0.166806087686283,"2011-03-30T00:00:00.000+02:00"
35433.774,0.158440720524705,"2011-03-31T00:00:00.000+02:00"
35368.838,0.196627582190097,"2011-04-01T00:00:00.000+02:00"
29464.229,0.188828695617026,"2011-04-02T00:00:00.000+02:00"
29140.037,0.214199653346895,"2011-04-03T00:00:00.000+02:00"
35163.383,0.167377372134765,"2011-04-04T00:00:00.000+02:00"
34242.091,0.148301376648631,"2011-04-05T00:00:00.000+02:00"
34073.912,0.167899811695396,"2011-04-06T00:00:00.000+02:00"
34041.467,0.150066225771052,"2011-04-07T00:00:00.000+02:00"
34494.521,0.153223690425196,"2011-04-08T00:00:00.000+02:00"
27971.376,0.202486465039304,"2011-04-09T00:00:00.000+02:00"
27168.851,0.307052897607938,"2011-04-10T00:00:00.000+02:00"
33477.727,0.237828536289749,"2011-04-11T00:00:00.000+02:00"
33811.258,0.210740548078686,"2011-04-12T00:00:00.000+02:00"
34326.924,0.160538671079106,"2011-04-13T00:00:00.000+02:00"
34348.256,0.153116920931003,"2011-04-14T00:00:00.000+02:00"
35482.524,0.197475694380171,"2011-04-15T00:00:00.000+02:00"
29350.622,0.210502002785496,"2011-04-16T00:00:00.000+02:00"
29046.886,0.210229914494562,"2011-04-17T00:00:00.000+02:00"
34879.49,0.191628953540848,"2011-04-18T00:00:00.000+02:00"
34970.957,0.175301428497612,"2011-04-19T00:00:00.000+02:00"
34715.583,0.197944516847073,"2011-04-20T00:00:00.000+02:00"
33088.425,0.241341195328302,"2011-04-21T00:00:00.000+02:00"
31470.619,0.250132071825613,"2011-04-22T00:00:00.000+02:00"
27270.412,0.194450459181725,"2011-04-23T00:00:00.000+02:00"
27061.558,0.249683240699664,"2011-04-24T00:00:00.000+02:00"
32735.748,0.248388763153671,"2011-04-25T00:00:00.000+02:00"
34007.268,0.187530835681099,"2011-04-26T00:00:00.000+02:00"
34295.488,0.169032234069688,"2011-04-27T00:00:00.000+02:00"
34408.237,0.158944855301172,"2011-04-28T00:00:00.000+02:00"
34559.273,0.153773601696458,"2011-04-29T00:00:00.000+02:00"
28496.992,0.158014300483964,"2011-04-30T00:00:00.000+02:00"
26200.115,0.233346363562708,"2011-05-01T00:00:00.000+02:00"
32538.59,0.194559435209307,"2011-05-02T00:00:00.000+02:00"
33563.395,0.176789029751158,"2011-05-03T00:00:00.000+02:00"
33541.017,0.149812417894598,"2011-05-04T00:00:00.000+02:00"
33685.764,0.141200661537656,"2011-05-05T00:00:00.000+02:00"
34169.224,0.185715103550153,"2011-05-06T00:00:00.000+02:00"
28312.03,0.211064292805205,"2011-05-07T00:00:00.000+02:00"
27882.043,0.214951020777171,"2011-05-08T00:00:00.000+02:00"
33949.518,0.155639122955268,"2011-05-09T00:00:00.000+02:00"
34264.679,0.16649671031197,"2011-05-10T00:00:00.000+02:00"
33740.858,0.148126293498404,"2011-05-11T00:00:00.000+02:00"
33432.299,0.140852590395087,"2011-05-12T00:00:00.000+02:00"
33687.702,0.142533160164674,"2011-05-13T00:00:00.000+02:00"
27465.714,0.211681080734345,"2011-05-14T00:00:00.000+02:00"
27820.598,0.342317321065003,"2011-05-15T00:00:00.000+02:00"
33711.272,0.228864398086228,"2011-05-16T00:00:00.000+02:00"
33417.674,0.151732871406104,"2011-05-17T00:00:00.000+02:00"
34204.367,0.156848892960386,"2011-05-18T00:00:00.000+02:00"
34215.109,0.139643399360174,"2011-05-19T00:00:00.000+02:00"
34390.292,0.133774721593984,"2011-05-20T00:00:00.000+02:00"
28087.35,0.122345480383105,"2011-05-21T00:00:00.000+02:00"
27861.63,0.164939951191879,"2011-05-22T00:00:00.000+02:00"
33480.946,0.138316073430656,"2011-05-23T00:00:00.000+02:00"
33258.317,0.137453298746471,"2011-05-24T00:00:00.000+02:00"
32921.567,0.130408560396365,"2011-05-25T00:00:00.000+02:00"
33444.822,0.130974444597944,"2011-05-26T00:00:00.000+02:00"
34311.274,0.143574154866699,"2011-05-27T00:00:00.000+02:00"
28210.657,0.129435832079377,"2011-05-28T00:00:00.000+02:00"
27640.608,0.151325869599016,"2011-05-29T00:00:00.000+02:00"
33791.09,0.145267666968447,"2011-05-30T00:00:00.000+02:00"
34481.607,0.160759127218392,"2011-05-31T00:00:00.000+02:00"
34258.855,0.192121846019759,"2011-06-01T00:00:00.000+02:00"
34405.797,0.202009644382252,"2011-06-02T00:00:00.000+02:00"
34815.492,0.163316743513813,"2011-06-03T00:00:00.000+02:00"
28134.95,0.138183909038432,"2011-06-04T00:00:00.000+02:00"
28128.686,0.159698003270663,"2011-06-05T00:00:00.000+02:00"
33944.387,0.141532759123163,"2011-06-06T00:00:00.000+02:00"
34002.661,0.16836962348982,"2011-06-07T00:00:00.000+02:00"
34524.57,0.17307725828392,"2011-06-08T00:00:00.000+02:00"
34357.404,0.149249411178314,"2011-06-09T00:00:00.000+02:00"
34317.495,0.158580846798694,"2011-06-10T00:00:00.000+02:00"
28261.774,0.155048820470189,"2011-06-11T00:00:00.000+02:00"
27647.847,0.210299331355783,"2011-06-12T00:00:00.000+02:00"
33198.76,0.204306185694957,"2011-06-13T00:00:00.000+02:00"
33233.267,0.138467352178925,"2011-06-14T00:00:00.000+02:00"
32630.96,0.130527201858611,"2011-06-15T00:00:00.000+02:00"
32711.956,0.134128279266475,"2011-06-16T00:00:00.000+02:00"
33336.102,0.148723773378266,"2011-06-17T00:00:00.000+02:00"
26894.935,0.181979158826218,"2011-06-18T00:00:00.000+02:00"
26939.987,0.178432702944331,"2011-06-19T00:00:00.000+02:00"
32258.787,0.131564812001537,"2011-06-20T00:00:00.000+02:00"
32381.506,0.119509861845385,"2011-06-21T00:00:00.000+02:00"
32865.802,0.120634264767166,"2011-06-22T00:00:00.000+02:00"
32993.531,0.152864821955148,"2011-06-23T00:00:00.000+02:00"
32756.755,0.169021392152784,"2011-06-24T00:00:00.000+02:00"
26584.06,0.146768269270891,"2011-06-25T00:00:00.000+02:00"
25561.325,0.147991861772715,"2011-06-26T00:00:00.000+02:00"
30842.381,0.120643424168719,"2011-06-27T00:00:00.000+02:00"
30896.803,0.112421323765252,"2011-06-28T00:00:00.000+02:00"
31027.058,0.133542971346605,"2011-06-29T00:00:00.000+02:00"
31842.42,0.142948203844628,"2011-06-30T00:00:00.000+02:00"
31790.959,0.124704970727872,"2011-07-01T00:00:00.000+02:00"
25943.079,0.105989608866442,"2011-07-02T00:00:00.000+02:00"
25644.272,0.128011082595175,"2011-07-03T00:00:00.000+02:00"
32081.253,0.11620082183371,"2011-07-04T00:00:00.000+02:00"
31881.564,0.103486505518556,"2011-07-05T00:00:00.000+02:00"
31659.644,0.105755139132905,"2011-07-06T00:00:00.000+02:00"
32348.823,0.11315784546955,"2011-07-07T00:00:00.000+02:00"
32727.981,0.115644894830045,"2011-07-08T00:00:00.000+02:00"
26655.627,0.104621666749385,"2011-07-09T00:00:00.000+02:00"
26162.845,0.124985423535798,"2011-07-10T00:00:00.000+02:00"
32130.024,0.10930526043403,"2011-07-11T00:00:00.000+02:00"
32003.707,0.112787991658067,"2011-07-12T00:00:00.000+02:00"
32625.256,0.12924674534093,"2011-07-13T00:00:00.000+02:00"
33093.252,0.118604202486944,"2011-07-14T00:00:00.000+02:00"
33157.847,0.111393277585239,"2011-07-15T00:00:00.000+02:00"
26536.694,0.110814555926394,"2011-07-16T00:00:00.000+02:00"
26598.343,0.171859602039728,"2011-07-17T00:00:00.000+02:00"
32687.349,0.135772260358995,"2011-07-18T00:00:00.000+02:00"
32977.193,0.158544768028996,"2011-07-19T00:00:00.000+02:00"
33326.307,0.123879693369842,"2011-07-20T00:00:00.000+02:00"
33516.502,0.120795987502553,"2011-07-21T00:00:00.000+02:00"
33967.115,0.134863181215973,"2011-07-22T00:00:00.000+02:00"
27425.122,0.166128697794077,"2011-07-23T00:00:00.000+02:00"
26796.566,0.199333195597272,"2011-07-24T00:00:00.000+02:00"
31372.608,0.144892901318356,"2011-07-25T00:00:00.000+02:00"
32598.659,0.122642580488887,"2011-07-26T00:00:00.000+02:00"
32392.936,0.125436724387552,"2011-07-27T00:00:00.000+02:00"
32810.507,0.123627516042476,"2011-07-28T00:00:00.000+02:00"
33162.305,0.117711496439833,"2011-07-29T00:00:00.000+02:00"
27215.934,0.128018681214634,"2011-07-30T00:00:00.000+02:00"
26680.04,0.135842474492215,"2011-07-31T00:00:00.000+02:00"
26338.494,0.105579312236838,"2011-08-01T00:00:00.000+02:00"
26697.274,0.102511042046513,"2011-08-02T00:00:00.000+02:00"
26991.126,0.0991346883403739,"2011-08-03T00:00:00.000+02:00"
26521.815,0.0961653667439524,"2011-08-04T00:00:00.000+02:00"
26268.71,0.100695046906647,"2011-08-05T00:00:00.000+02:00"
25605.059,0.150366842572075,"2011-08-06T00:00:00.000+02:00"
25273.74,0.177352529651032,"2011-08-07T00:00:00.000+02:00"
25661.292,0.129687241355585,"2011-08-08T00:00:00.000+02:00"
25254.414,0.129824213678825,"2011-08-09T00:00:00.000+02:00"
25769.389,0.117495012236709,"2011-08-10T00:00:00.000+02:00"
25574.731,0.103231287933432,"2011-08-11T00:00:00.000+02:00"
25997.357,0.101339281348109,"2011-08-12T00:00:00.000+02:00"
24838.156,0.105688247626205,"2011-08-13T00:00:00.000+02:00"
