"value","percentage","datetime"
7868.698,0.0510148718499895,"2011-01-01T00:00:00.000+01:00"
8004.911,0.0553842790463832,"2011-01-02T00:00:00.000+01:00"
8365.888,0.0360114493319916,"2011-01-03T00:00:00.000+01:00"
8357.493,0.0344541617881642,"2011-01-04T00:00:00.000+01:00"
8398.663,0.050699116594471,"2011-01-05T00:00:00.000+01:00"
7793.349,0.0773481033110403,"2011-01-06T00:00:00.000+01:00"
8162.878,0.0816949970629194,"2011-01-07T00:00:00.000+01:00"
8033.579,0.0912396850964248,"2011-01-08T00:00:00.000+01:00"
7702.689,0.0685228061566335,"2011-01-09T00:00:00.000+01:00"
8222.849,0.0463361071963685,"2011-01-10T00:00:00.000+01:00"
8141.588,0.0485488389212851,"2011-01-11T00:00:00.000+01:00"
8030.004,0.0412247906936791,"2011-01-12T00:00:00.000+01:00"
8090.643,0.0370491395064136,"2011-01-13T00:00:00.000+01:00"
8238.628,0.0367479440561756,"2011-01-14T00:00:00.000+01:00"
8082.023,0.0460500284558395,"2011-01-15T00:00:00.000+01:00"
7761.588,0.0526184844636831,"2011-01-16T00:00:00.000+01:00"
8064.354,0.0335496113547569,"2011-01-17T00:00:00.000+01:00"
8135.8,0.0308917941305348,"2011-01-18T00:00:00.000+01:00"
8164.747,0.0312006557469038,"2011-01-19T00:00:00.000+01:00"
8262.096,0.0375174236369801,"2011-01-20T00:00:00.000+01:00"
8323.075,0.0559409322847737,"2011-01-21T00:00:00.000+01:00"
8373.899,0.0804946793182681,"2011-01-22T00:00:00.000+01:00"
8106.606,0.0716205005769764,"2011-01-23T00:00:00.000+01:00"
8577.364,0.0454133465776335,"2011-01-24T00:00:00.000+01:00"
8193.013,0.0354931267407032,"2011-01-25T00:00:00.000+01:00"
8277.057,0.0309816370328245,"2011-01-26T00:00:00.000+01:00"
8404.135,0.0312383236839166,"2011-01-27T00:00:00.000+01:00"
8620.073,0.0335320138901029,"2011-01-28T00:00:00.000+01:00"
8342.479,0.0413434034702915,"2011-01-29T00:00:00.000+01:00"
7877.162,0.0442191228543529,"2011-01-30T00:00:00.000+01:00"
8174.888,0.0345193989730112,"2011-01-31T00:00:00.000+01:00"
8122.702,0.0335158319385462,"2011-02-01T00:00:00.000+01:00"
8075.99,0.0345571883428874,"2011-02-02T00:00:00.000+01:00"
7619.194,0.0308181212086819,"2011-02-03T00:00:00.000+01:00"
7960.526,0.0309309904754658,"2011-02-04T00:00:00.000+01:00"
8148.648,0.0350973044054158,"2011-02-05T00:00:00.000+01:00"
7843.533,0.0383123946447162,"2011-02-06T00:00:00.000+01:00"
8298.354,0.0321898811332864,"2011-02-07T00:00:00.000+01:00"
8188.057,0.0303761868675992,"2011-02-08T00:00:00.000+01:00"
8307.755,0.0316707164229108,"2011-02-09T00:00:00.000+01:00"
8134.464,0.0315761211127253,"2011-02-10T00:00:00.000+01:00"
7868.647,0.0306913870168041,"2011-02-11T00:00:00.000+01:00"
7884.941,0.0345846126665458,"2011-02-12T00:00:00.000+01:00"
7732.516,0.0482952272859569,"2011-02-13T00:00:00.000+01:00"
8182.153,0.0394370463529131,"2011-02-14T00:00:00.000+01:00"
7756.916,0.0314748793557082,"2011-02-15T00:00:00.000+01:00"
7510.286,0.0362056943902411,"2011-02-16T00:00:00.000+01:00"
7847.793,0.0399695428938978,"2011-02-17T00:00:00.000+01:00"
8133.649,0.0396376427052657,"2011-02-18T00:00:00.000+01:00"
7922.761,0.0416223386070615,"2011-02-19T00:00:00.000+01:00"
7696.527,0.0571976831946595,"2011-02-20T00:00:00.000+01:00"
7825.758,0.0534649636900115,"2011-02-21T00:00:00.000+01:00"
7806.055,0.0525043595933816,"2011-02-22T00:00:00.000+01:00"
7722.939,0.0385349886514485,"2011-02-23T00:00:00.000+01:00"
8184.882,0.0360996935393954,"2011-02-24T00:00:00.000+01:00"
7823.331,0.0358796539727837,"2011-02-25T00:00:00.000+01:00"
7744.346,0.0496935981764856,"2011-02-26T00:00:00.000+01:00"
7460.804,0.0592207038034923,"2011-02-27T00:00:00.000+01:00"
7823.734,0.0468284825709673,"2011-02-28T00:00:00.000+01:00"
7861.658,0.0390931280689403,"2011-03-01T00:00:00.000+01:00"
7845.578,0.0367502028969983,"2011-03-02T00:00:00.000+01:00"
7797.255,0.0320892137061822,"2011-03-03T00:00:00.000+01:00"
8127.057,0.0317757993831089,"2011-03-04T00:00:00.000+01:00"
8050.316,0.043724427882752,"2011-03-05T00:00:00.000+01:00"
7782.965,0.0442183872050513,"2011-03-06T00:00:00.000+01:00"
