"value","percentage","datetime"
2.933,1.12081272457884e-05,"2011-01-19T00:00:00.000+01:00"
17.192,9.10240319010218e-05,"2011-01-24T00:00:00.000+01:00"
17.441,7.5556528896586e-05,"2011-01-25T00:00:00.000+01:00"
14.874,5.56744829987557e-05,"2011-01-26T00:00:00.000+01:00"
16.096,5.98291267353894e-05,"2011-01-27T00:00:00.000+01:00"
9.839,3.82736300104097e-05,"2011-01-28T00:00:00.000+01:00"
5.884,2.48458625435845e-05,"2011-01-31T00:00:00.000+01:00"
2.118,8.73927568016662e-06,"2011-02-01T00:00:00.000+01:00"
0.088,3.76552295653424e-07,"2011-02-02T00:00:00.000+01:00"
3.392,1.29309386358304e-05,"2011-02-09T00:00:00.000+01:00"
3.48,1.35085607942065e-05,"2011-02-10T00:00:00.000+01:00"
2.949,1.4213844411702e-05,"2011-02-14T00:00:00.000+01:00"
1.199,4.86512685550471e-06,"2011-02-15T00:00:00.000+01:00"
6.688,3.40626087964334e-05,"2011-02-17T00:00:00.000+01:00"
3.578,1.85792310398986e-05,"2011-03-24T00:00:00.000+01:00"
3.404,1.50734101643884e-05,"2011-03-25T00:00:00.000+01:00"
3.905,1.71434044774815e-05,"2011-05-11T00:00:00.000+02:00"
3.984,1.67848678349648e-05,"2011-05-12T00:00:00.000+02:00"
4.496,1.87327118756169e-05,"2011-06-14T00:00:00.000+02:00"
4.358,1.74324489901562e-05,"2011-06-15T00:00:00.000+02:00"
3.791,1.27601995622508e-05,"2011-09-07T00:00:00.000+02:00"
3.313,1.10463690228257e-05,"2011-09-08T00:00:00.000+02:00"
6.014,2.81784448231964e-05,"2011-11-04T00:00:00.000+01:00"
6.033,2.36322162488256e-05,"2011-11-22T00:00:00.000+01:00"
1.804,7.77693843747081e-06,"2011-12-02T00:00:00.000+01:00"
3.137,1.47506312219233e-05,"2011-12-03T00:00:00.000+01:00"
3.037,1.74153708739993e-05,"2011-12-04T00:00:00.000+01:00"
4.171,1.91034152138564e-05,"2011-12-12T00:00:00.000+01:00"
7.466,3.62179766457211e-05,"2011-12-13T00:00:00.000+01:00"
3.836,1.86820476737902e-05,"2011-12-14T00:00:00.000+01:00"
3.263,1.52061640821438e-05,"2011-12-15T00:00:00.000+01:00"
5.209,2.72897516122328e-05,"2011-12-16T00:00:00.000+01:00"
17.625,6.68242449977844e-05,"2011-12-19T00:00:00.000+01:00"
17.877,6.82235764873323e-05,"2011-12-20T00:00:00.000+01:00"
14.903,5.77531119066699e-05,"2011-12-21T00:00:00.000+01:00"
4.563,1.68346361581886e-05,"2011-12-22T00:00:00.000+01:00"
3.292,1.25621271982692e-05,2012-01-09T00:00:00.000+01:00
3.871,1.24227362607072e-05,2012-01-10T00:00:00.000+01:00
3.478,1.03001000181765e-05,2012-01-11T00:00:00.000+01:00
9.047,2.60577725328122e-05,2012-01-12T00:00:00.000+01:00
5.928,1.68506119317631e-05,2012-01-13T00:00:00.000+01:00
13.78,4.11244864706587e-05,2012-01-16T00:00:00.000+01:00
4.031,1.18601048991119e-05,2012-01-17T00:00:00.000+01:00
13.496,3.93154861573395e-05,2012-01-18T00:00:00.000+01:00
7.797,2.27714696948362e-05,2012-01-19T00:00:00.000+01:00
5.818,1.82474031660449e-05,2012-01-20T00:00:00.000+01:00
0.179,6.11268218046736e-07,2012-01-23T00:00:00.000+01:00
0.729,2.42330689098861e-06,2012-01-24T00:00:00.000+01:00
2.679,7.92820459405808e-06,2012-01-25T00:00:00.000+01:00
2.847,8.42502529741834e-06,2012-01-26T00:00:00.000+01:00
4.024,1.25861194825782e-05,2012-01-27T00:00:00.000+01:00
7.792,2.69944382726924e-05,2012-01-30T00:00:00.000+01:00
16.775,5.35942676938687e-05,2012-01-31T00:00:00.000+01:00
28.365,9.34079148140366e-05,2012-02-01T00:00:00.000+01:00
42.944,0.000167603156720219,2012-02-02T00:00:00.000+01:00
40.034,0.000161057981569349,2012-02-03T00:00:00.000+01:00
1.543,6.87642615652397e-06,2012-02-04T00:00:00.000+01:00
30.884,0.000131376933246944,2012-02-06T00:00:00.000+01:00
48.469,0.000194581521463784,2012-02-07T00:00:00.000+01:00
32.334,0.000117325221813757,2012-02-08T00:00:00.000+01:00
24.882,7.62157706510692e-05,2012-02-09T00:00:00.000+01:00
24.657,7.75043365981937e-05,2012-02-10T00:00:00.000+01:00
9.011,3.29364047587714e-05,2012-02-11T00:00:00.000+01:00
24.441,8.07139843937773e-05,2012-02-13T00:00:00.000+01:00
29.436,9.70262908649045e-05,2012-02-14T00:00:00.000+01:00
21.709,6.96986254743349e-05,2012-02-15T00:00:00.000+01:00
11.646,3.70700667232553e-05,2012-02-16T00:00:00.000+01:00
10.196,3.11638216297162e-05,2012-02-17T00:00:00.000+01:00
4.184,1.3536992248176e-05,2012-02-20T00:00:00.000+01:00
10.559,3.00891358520152e-05,2012-02-21T00:00:00.000+01:00
13.948,3.80870230696714e-05,2012-02-22T00:00:00.000+01:00
5.779,1.67390852966667e-05,2012-02-23T00:00:00.000+01:00
2.981,1.11856586962551e-05,2012-05-25T00:00:00.000+02:00
1.112,5.84249187280221e-06,2012-05-27T00:00:00.000+02:00
0.001,3.79844897932827e-09,2012-06-02T00:00:00.000+02:00
0.001,3.80644938748101e-09,2012-08-01T00:00:00.000+02:00
6.885,2.50594149264656e-05,2012-08-03T00:00:00.000+02:00
0.001,4.05266516189048e-09,2012-08-25T00:00:00.000+02:00
10.028,4.41026726756192e-05,2012-09-28T00:00:00.000+02:00
3.95,1.59469337076398e-05,2012-10-19T00:00:00.000+02:00
12.363,6.02447313197549e-05,2012-10-31T00:00:00.000+01:00
4.043,1.6572978168604e-05,2012-11-08T00:00:00.000+01:00
0.125,4.37747003999971e-07,2012-11-13T00:00:00.000+01:00
0.351,1.47201003120737e-06,2012-11-27T00:00:00.000+01:00
5.802,2.84475926577734e-05,2012-11-28T00:00:00.000+01:00
2.864,8.22395934028558e-06,2012-12-11T00:00:00.000+01:00
2.552,1.26509323900761e-05,2013-01-31T00:00:00.000+01:00
7.387,6.84177568039477e-05,2013-03-26T00:00:00.000+01:00
