"value","percentage","datetime"
154243.218,1,"2011-01-01T00:00:00.000+01:00"
144533.993,1,"2011-01-02T00:00:00.000+01:00"
232311.894,1,"2011-01-03T00:00:00.000+01:00"
242568.461,1,"2011-01-04T00:00:00.000+01:00"
165656.989,1,"2011-01-05T00:00:00.000+01:00"
100756.821,1,"2011-01-06T00:00:00.000+01:00"
99918.946,1,"2011-01-07T00:00:00.000+01:00"
88049.175,1,"2011-01-08T00:00:00.000+01:00"
112410.589,1,"2011-01-09T00:00:00.000+01:00"
177460.937,1,"2011-01-10T00:00:00.000+01:00"
167698.923,1,"2011-01-11T00:00:00.000+01:00"
194785.804,1,"2011-01-12T00:00:00.000+01:00"
218376.003,1,"2011-01-13T00:00:00.000+01:00"
224192.896,1,"2011-01-14T00:00:00.000+01:00"
175505.277,1,"2011-01-15T00:00:00.000+01:00"
147506.871,1,"2011-01-16T00:00:00.000+01:00"
240371.011,1,"2011-01-17T00:00:00.000+01:00"
263364.438,1,"2011-01-18T00:00:00.000+01:00"
261685.109,1,"2011-01-19T00:00:00.000+01:00"
220220.239,1,"2011-01-20T00:00:00.000+01:00"
148783.273,1,"2011-01-21T00:00:00.000+01:00"
104030.466,1,"2011-01-22T00:00:00.000+01:00"
113188.346,1,"2011-01-23T00:00:00.000+01:00"
188873.198,1,"2011-01-24T00:00:00.000+01:00"
230833.791,1,"2011-01-25T00:00:00.000+01:00"
267160.092,1,"2011-01-26T00:00:00.000+01:00"
269032.842,1,"2011-01-27T00:00:00.000+01:00"
257069.946,1,"2011-01-28T00:00:00.000+01:00"
201785.008,1,"2011-01-29T00:00:00.000+01:00"
178139.264,1,"2011-01-30T00:00:00.000+01:00"
236820.114,1,"2011-01-31T00:00:00.000+01:00"
242354.181,1,"2011-02-01T00:00:00.000+01:00"
233699.279,1,"2011-02-02T00:00:00.000+01:00"
247230.97,1,"2011-02-03T00:00:00.000+01:00"
257364.083,1,"2011-02-04T00:00:00.000+01:00"
232173.044,1,"2011-02-05T00:00:00.000+01:00"
204725.731,1,"2011-02-06T00:00:00.000+01:00"
257793.869,1,"2011-02-07T00:00:00.000+01:00"
269555.13,1,"2011-02-08T00:00:00.000+01:00"
262316.611,1,"2011-02-09T00:00:00.000+01:00"
257614.416,1,"2011-02-10T00:00:00.000+01:00"
256379.648,1,"2011-02-11T00:00:00.000+01:00"
227989.86,1,"2011-02-12T00:00:00.000+01:00"
160109.32,1,"2011-02-13T00:00:00.000+01:00"
207473.778,1,"2011-02-14T00:00:00.000+01:00"
246447.839,1,"2011-02-15T00:00:00.000+01:00"
207433.834,1,"2011-02-16T00:00:00.000+01:00"
196344.327,1,"2011-02-17T00:00:00.000+01:00"
205200.119,1,"2011-02-18T00:00:00.000+01:00"
190348.771,1,"2011-02-19T00:00:00.000+01:00"
134560.118,1,"2011-02-20T00:00:00.000+01:00"
146371.707,1,"2011-02-21T00:00:00.000+01:00"
148674.416,1,"2011-02-22T00:00:00.000+01:00"
200413.683,1,"2011-02-23T00:00:00.000+01:00"
226729.958,1,"2011-02-24T00:00:00.000+01:00"
218043.658,1,"2011-02-25T00:00:00.000+01:00"
155841.925,1,"2011-02-26T00:00:00.000+01:00"
125983.035,1,"2011-02-27T00:00:00.000+01:00"
167072.123,1,"2011-02-28T00:00:00.000+01:00"
201100.766,1,"2011-03-01T00:00:00.000+01:00"
213483.937,1,"2011-03-02T00:00:00.000+01:00"
242986.789,1,"2011-03-03T00:00:00.000+01:00"
255762.472,1,"2011-03-04T00:00:00.000+01:00"
184114.839,1,"2011-03-05T00:00:00.000+01:00"
176011.96,1,"2011-03-06T00:00:00.000+01:00"
198771.99,1,"2011-03-07T00:00:00.000+01:00"
184188.664,1,"2011-03-08T00:00:00.000+01:00"
219980.02,1,"2011-03-09T00:00:00.000+01:00"
236638.581,1,"2011-03-10T00:00:00.000+01:00"
226880.558,1,"2011-03-11T00:00:00.000+01:00"
197979.001,1,"2011-03-12T00:00:00.000+01:00"
187983.294,1,"2011-03-13T00:00:00.000+01:00"
218247.76,1,"2011-03-14T00:00:00.000+01:00"
223326.507,1,"2011-03-15T00:00:00.000+01:00"
186162.064,1,"2011-03-16T00:00:00.000+01:00"
204518.275,1,"2011-03-17T00:00:00.000+01:00"
218976.37,1,"2011-03-18T00:00:00.000+01:00"
175986.195,1,"2011-03-19T00:00:00.000+01:00"
169061.593,1,"2011-03-20T00:00:00.000+01:00"
220869.14,1,"2011-03-21T00:00:00.000+01:00"
191939.666,1,"2011-03-22T00:00:00.000+01:00"
182978.974,1,"2011-03-23T00:00:00.000+01:00"
192580.629,1,"2011-03-24T00:00:00.000+01:00"
225828.128,1,"2011-03-25T00:00:00.000+01:00"
175998.82,1,"2011-03-26T00:00:00.000+01:00"
100986.958,1,"2011-03-27T00:00:00.000+01:00"
187878.084,1,"2011-03-28T00:00:00.000+02:00"
221550.764,1,"2011-03-29T00:00:00.000+02:00"
211164.955,1,"2011-03-30T00:00:00.000+02:00"
223640.576,1,"2011-03-31T00:00:00.000+02:00"
179877.297,1,"2011-04-01T00:00:00.000+02:00"
156036.819,1,"2011-04-02T00:00:00.000+02:00"
136041.476,1,"2011-04-03T00:00:00.000+02:00"
210084.449,1,"2011-04-04T00:00:00.000+02:00"
230895.301,1,"2011-04-05T00:00:00.000+02:00"
202941.931,1,"2011-04-06T00:00:00.000+02:00"
226842.961,1,"2011-04-07T00:00:00.000+02:00"
225125.246,1,"2011-04-08T00:00:00.000+02:00"
138139.485,1,"2011-04-09T00:00:00.000+02:00"
88482.64,1,"2011-04-10T00:00:00.000+02:00"
140764.13,1,"2011-04-11T00:00:00.000+02:00"
160440.211,1,"2011-04-12T00:00:00.000+02:00"
213823.397,1,"2011-04-13T00:00:00.000+02:00"
224326.977,1,"2011-04-14T00:00:00.000+02:00"
179680.462,1,"2011-04-15T00:00:00.000+02:00"
139431.557,1,"2011-04-16T00:00:00.000+02:00"
138167.235,1,"2011-04-17T00:00:00.000+02:00"
182015.762,1,"2011-04-18T00:00:00.000+02:00"
199490.428,1,"2011-04-19T00:00:00.000+02:00"
175380.372,1,"2011-04-20T00:00:00.000+02:00"
137102.267,1,"2011-04-21T00:00:00.000+02:00"
125816.009,1,"2011-04-22T00:00:00.000+02:00"
140243.495,1,"2011-04-23T00:00:00.000+02:00"
108383.558,1,"2011-04-24T00:00:00.000+02:00"
131792.387,1,"2011-04-25T00:00:00.000+02:00"
181342.273,1,"2011-04-26T00:00:00.000+02:00"
202893.183,1,"2011-04-27T00:00:00.000+02:00"
216479.086,1,"2011-04-28T00:00:00.000+02:00"
224741.26,1,"2011-04-29T00:00:00.000+02:00"
180344.386,1,"2011-04-30T00:00:00.000+02:00"
112279.937,1,"2011-05-01T00:00:00.000+02:00"
167242.416,1,"2011-05-02T00:00:00.000+02:00"
189849.987,1,"2011-05-03T00:00:00.000+02:00"
223886.761,1,"2011-05-04T00:00:00.000+02:00"
238566.616,1,"2011-05-05T00:00:00.000+02:00"
183987.319,1,"2011-05-06T00:00:00.000+02:00"
134139.364,1,"2011-05-07T00:00:00.000+02:00"
129713.471,1,"2011-05-08T00:00:00.000+02:00"
218129.718,1,"2011-05-09T00:00:00.000+02:00"
205797.934,1,"2011-05-10T00:00:00.000+02:00"
227784.394,1,"2011-05-11T00:00:00.000+02:00"
237356.65,1,"2011-05-12T00:00:00.000+02:00"
236349.927,1,"2011-05-13T00:00:00.000+02:00"
129750.443,1,"2011-05-14T00:00:00.000+02:00"
81271.371,1,"2011-05-15T00:00:00.000+02:00"
147298.017,1,"2011-05-16T00:00:00.000+02:00"
220240.174,1,"2011-05-17T00:00:00.000+02:00"
218072.097,1,"2011-05-18T00:00:00.000+02:00"
