"value","percentage","datetime"
624314.058,1,"2011-01-01T00:00:00.000+01:00"
680025.145,1,"2011-01-02T00:00:00.000+01:00"
839062.194,1,"2011-01-03T00:00:00.000+01:00"
863316.984,1,"2011-01-04T00:00:00.000+01:00"
833310.877,1,"2011-01-05T00:00:00.000+01:00"
721038.142,1,"2011-01-06T00:00:00.000+01:00"
775673.912,1,"2011-01-07T00:00:00.000+01:00"
744796.53,1,"2011-01-08T00:00:00.000+01:00"
681275.601,1,"2011-01-09T00:00:00.000+01:00"
870024.229,1,"2011-01-10T00:00:00.000+01:00"
896200.594,1,"2011-01-11T00:00:00.000+01:00"
880609.289,1,"2011-01-12T00:00:00.000+01:00"
862562.35,1,"2011-01-13T00:00:00.000+01:00"
848647.41,1,"2011-01-14T00:00:00.000+01:00"
735983.009,1,"2011-01-15T00:00:00.000+01:00"
685592.871,1,"2011-01-16T00:00:00.000+01:00"
847194.196,1,"2011-01-17T00:00:00.000+01:00"
887779.432,1,"2011-01-18T00:00:00.000+01:00"
889306.827,1,"2011-01-19T00:00:00.000+01:00"
870762.026,1,"2011-01-20T00:00:00.000+01:00"
882262.606,1,"2011-01-21T00:00:00.000+01:00"
815721.983,1,"2011-01-22T00:00:00.000+01:00"
772152.063,1,"2011-01-23T00:00:00.000+01:00"
924365.276,1,"2011-01-24T00:00:00.000+01:00"
942899.032,1,"2011-01-25T00:00:00.000+01:00"
944597.18,1,"2011-01-26T00:00:00.000+01:00"
942659.078,1,"2011-01-27T00:00:00.000+01:00"
935528.704,1,"2011-01-28T00:00:00.000+01:00"
795754.687,1,"2011-01-29T00:00:00.000+01:00"
736947.304,1,"2011-01-30T00:00:00.000+01:00"
896109.093,1,"2011-01-31T00:00:00.000+01:00"
922784.48,1,"2011-02-01T00:00:00.000+01:00"
923382.018,1,"2011-02-02T00:00:00.000+01:00"
895187.467,1,"2011-02-03T00:00:00.000+01:00"
877718.882,1,"2011-02-04T00:00:00.000+01:00"
770569.939,1,"2011-02-05T00:00:00.000+01:00"
709529.264,1,"2011-02-06T00:00:00.000+01:00"
833318.79,1,"2011-02-07T00:00:00.000+01:00"
845592.537,1,"2011-02-08T00:00:00.000+01:00"
852095.449,1,"2011-02-09T00:00:00.000+01:00"
855732.727,1,"2011-02-10T00:00:00.000+01:00"
849112.178,1,"2011-02-11T00:00:00.000+01:00"
758736.64,1,"2011-02-12T00:00:00.000+01:00"
714837.929,1,"2011-02-13T00:00:00.000+01:00"
863536.531,1,"2011-02-14T00:00:00.000+01:00"
881332.881,1,"2011-02-15T00:00:00.000+01:00"
884047.268,1,"2011-02-16T00:00:00.000+01:00"
882049.746,1,"2011-02-17T00:00:00.000+01:00"
855124.399,1,"2011-02-18T00:00:00.000+01:00"
733716.718,1,"2011-02-19T00:00:00.000+01:00"
697466.708,1,"2011-02-20T00:00:00.000+01:00"
848967.358,1,"2011-02-21T00:00:00.000+01:00"
851688.51,1,"2011-02-22T00:00:00.000+01:00"
817412.154,1,"2011-02-23T00:00:00.000+01:00"
810350.364,1,"2011-02-24T00:00:00.000+01:00"
788425.436,1,"2011-02-25T00:00:00.000+01:00"
712788.775,1,"2011-02-26T00:00:00.000+01:00"
696798.356,1,"2011-02-27T00:00:00.000+01:00"
832676.107,1,"2011-02-28T00:00:00.000+01:00"
869801.454,1,"2011-03-01T00:00:00.000+01:00"
893581.177,1,"2011-03-02T00:00:00.000+01:00"
885929.297,1,"2011-03-03T00:00:00.000+01:00"
890134.162,1,"2011-03-04T00:00:00.000+01:00"
753190.705,1,"2011-03-05T00:00:00.000+01:00"
675242.402,1,"2011-03-06T00:00:00.000+01:00"
795682.518,1,"2011-03-07T00:00:00.000+01:00"
857729.433,1,"2011-03-08T00:00:00.000+01:00"
840004.015,1,"2011-03-09T00:00:00.000+01:00"
828068.771,1,"2011-03-10T00:00:00.000+01:00"
843447.778,1,"2011-03-11T00:00:00.000+01:00"
743870.833,1,"2011-03-12T00:00:00.000+01:00"
679627.023,1,"2011-03-13T00:00:00.000+01:00"
828498.784,1,"2011-03-14T00:00:00.000+01:00"
828100.851,1,"2011-03-15T00:00:00.000+01:00"
888118.055,1,"2011-03-16T00:00:00.000+01:00"
856987.386,1,"2011-03-17T00:00:00.000+01:00"
807841.943,1,"2011-03-18T00:00:00.000+01:00"
714074.077,1,"2011-03-19T00:00:00.000+01:00"
675191.018,1,"2011-03-20T00:00:00.000+01:00"
798204.069,1,"2011-03-21T00:00:00.000+01:00"
803981.255,1,"2011-03-22T00:00:00.000+01:00"
848106.799,1,"2011-03-23T00:00:00.000+01:00"
855054.891,1,"2011-03-24T00:00:00.000+01:00"
799600.07,1,"2011-03-25T00:00:00.000+01:00"
704002.625,1,"2011-03-26T00:00:00.000+01:00"
652575.404,1,"2011-03-27T00:00:00.000+01:00"
791869.601,1,"2011-03-28T00:00:00.000+02:00"
820063.729,1,"2011-03-29T00:00:00.000+02:00"
825498.232,1,"2011-03-30T00:00:00.000+02:00"
783858.046,1,"2011-03-31T00:00:00.000+02:00"
758453.239,1,"2011-04-01T00:00:00.000+02:00"
688598.807,1,"2011-04-02T00:00:00.000+02:00"
623274.748,1,"2011-04-03T00:00:00.000+02:00"
752860.933,1,"2011-04-04T00:00:00.000+02:00"
776469.361,1,"2011-04-05T00:00:00.000+02:00"
774855.215,1,"2011-04-06T00:00:00.000+02:00"
775479.224,1,"2011-04-07T00:00:00.000+02:00"
761950.18,1,"2011-04-08T00:00:00.000+02:00"
670548.915,1,"2011-04-09T00:00:00.000+02:00"
648650.014,1,"2011-04-10T00:00:00.000+02:00"
762984.737,1,"2011-04-11T00:00:00.000+02:00"
782558.22,1,"2011-04-12T00:00:00.000+02:00"
778683.022,1,"2011-04-13T00:00:00.000+02:00"
794013.809,1,"2011-04-14T00:00:00.000+02:00"
768341.498,1,"2011-04-15T00:00:00.000+02:00"
701086.409,1,"2011-04-16T00:00:00.000+02:00"
642102.96,1,"2011-04-17T00:00:00.000+02:00"
747515.637,1,"2011-04-18T00:00:00.000+02:00"
755489.075,1,"2011-04-19T00:00:00.000+02:00"
756706.034,1,"2011-04-20T00:00:00.000+02:00"
671572.601,1,"2011-04-21T00:00:00.000+02:00"
618350.441,1,"2011-04-22T00:00:00.000+02:00"
606766.144,1,"2011-04-23T00:00:00.000+02:00"
578961.117,1,"2011-04-24T00:00:00.000+02:00"
645852.018,1,"2011-04-25T00:00:00.000+02:00"
743660.078,1,"2011-04-26T00:00:00.000+02:00"
744792.235,1,"2011-04-27T00:00:00.000+02:00"
759954.578,1,"2011-04-28T00:00:00.000+02:00"
