"value","percentage","datetime"
-49.996,7.96735235383438e-05,"2011-01-01T00:00:00.000+01:00"
-50.202,7.31873272735814e-05,"2011-01-02T00:00:00.000+01:00"
-23.273,2.76085407393866e-05,"2011-01-03T00:00:00.000+01:00"
-10.819,1.24139225734229e-05,"2011-01-04T00:00:00.000+01:00"
-21.856,2.60546413298298e-05,"2011-01-05T00:00:00.000+01:00"
-27.723,3.76926504464182e-05,"2011-01-06T00:00:00.000+01:00"
-35.12,4.43191532112029e-05,"2011-01-07T00:00:00.000+01:00"
-50.389,6.59053421852282e-05,"2011-01-08T00:00:00.000+01:00"
-50.752,7.2934810955929e-05,"2011-01-09T00:00:00.000+01:00"
-25.235,2.85625836377333e-05,"2011-01-10T00:00:00.000+01:00"
-26.415,2.90233095323919e-05,"2011-01-11T00:00:00.000+01:00"
-34.086,3.81765866741474e-05,"2011-01-12T00:00:00.000+01:00"
-38.446,4.377486997232e-05,"2011-01-13T00:00:00.000+01:00"
-29.271,3.38015005328035e-05,"2011-01-14T00:00:00.000+01:00"
-50.013,6.75025412149761e-05,"2011-01-15T00:00:00.000+01:00"
-50.011,7.24717935992769e-05,"2011-01-16T00:00:00.000+01:00"
-16.245,1.89442114907002e-05,"2011-01-17T00:00:00.000+01:00"
-22.106,2.46904627850291e-05,"2011-01-18T00:00:00.000+01:00"
-11.764,1.30791295330539e-05,"2011-01-19T00:00:00.000+01:00"
-24.654,2.81870315343713e-05,"2011-01-20T00:00:00.000+01:00"
-11.053,1.23843238272132e-05,"2011-01-21T00:00:00.000+01:00"
-40.151,4.8590030138574e-05,"2011-01-22T00:00:00.000+01:00"
-42.61,5.4699423777964e-05,"2011-01-23T00:00:00.000+01:00"
17.484,1.87376304471414e-05,"2011-01-24T00:00:00.000+01:00"
17.759,1.86366319871117e-05,"2011-01-25T00:00:00.000+01:00"
14.625,1.53101774267831e-05,"2011-01-26T00:00:00.000+01:00"
16.492,1.73711754989037e-05,"2011-01-27T00:00:00.000+01:00"
7.846,8.34426020907794e-06,"2011-01-28T00:00:00.000+01:00"
-41.341,5.16341065004449e-05,"2011-01-29T00:00:00.000+01:00"
-43.793,5.91477332039475e-05,"2011-01-30T00:00:00.000+01:00"
1.948,2.16805750746273e-06,"2011-01-31T00:00:00.000+01:00"
-3.396,3.6700675498195e-06,"2011-02-01T00:00:00.000+01:00"
-6.154,6.64993821435859e-06,"2011-02-02T00:00:00.000+01:00"
-16.302,1.80868991292903e-05,"2011-02-03T00:00:00.000+01:00"
-18.124,2.04822375575636e-05,"2011-02-04T00:00:00.000+01:00"
-47.832,6.14549646347955e-05,"2011-02-05T00:00:00.000+01:00"
-49.368,6.92830154215996e-05,"2011-02-06T00:00:00.000+01:00"
-23.855,2.83934489420544e-05,"2011-02-07T00:00:00.000+01:00"
-12.677,1.4947207035426e-05,"2011-02-08T00:00:00.000+01:00"
-0.015,1.75702531079415e-08,"2011-02-09T00:00:00.000+01:00"
-10.92,1.27182027809818e-05,"2011-02-10T00:00:00.000+01:00"
-19.357,2.27056123577087e-05,"2011-02-11T00:00:00.000+01:00"
-44.74,5.88504081042321e-05,"2011-02-12T00:00:00.000+01:00"
-44.642,6.1875041052403e-05,"2011-02-13T00:00:00.000+01:00"
-2.112,2.41811451072632e-06,"2011-02-14T00:00:00.000+01:00"
-4.763,5.31908414680227e-06,"2011-02-15T00:00:00.000+01:00"
-17.387,1.94669982892834e-05,"2011-02-16T00:00:00.000+01:00"
2.835,3.19871162620325e-06,"2011-02-17T00:00:00.000+01:00"
-25.161,2.92083477320837e-05,"2011-02-18T00:00:00.000+01:00"
-46.262,6.24670600425193e-05,"2011-02-19T00:00:00.000+01:00"
-46.893,6.65530674180756e-05,"2011-02-20T00:00:00.000+01:00"
-22.117,2.57525792785299e-05,"2011-02-21T00:00:00.000+01:00"
-18.09,2.09108456420882e-05,"2011-02-22T00:00:00.000+01:00"
-31.617,3.83681256703159e-05,"2011-02-23T00:00:00.000+01:00"
-34.19,4.19585664347587e-05,"2011-02-24T00:00:00.000+01:00"
-37.342,4.70978976001501e-05,"2011-02-25T00:00:00.000+01:00"
-49.917,6.94027436962181e-05,"2011-02-26T00:00:00.000+01:00"
-48.475,6.85710031674937e-05,"2011-02-27T00:00:00.000+01:00"
-29.558,3.52247386111197e-05,"2011-02-28T00:00:00.000+01:00"
-29.562,3.35425440878005e-05,"2011-03-01T00:00:00.000+01:00"
-30.842,3.41108305189373e-05,"2011-03-02T00:00:00.000+01:00"
-13.047,1.45614312207197e-05,"2011-03-03T00:00:00.000+01:00"
-31.915,3.57151244573777e-05,"2011-03-04T00:00:00.000+01:00"
-47.906,6.34636609364003e-05,"2011-03-05T00:00:00.000+01:00"
-48.659,7.155187890677e-05,"2011-03-06T00:00:00.000+01:00"
-35.634,4.45153648803183e-05,"2011-03-07T00:00:00.000+01:00"
-30.903,3.56792740215974e-05,"2011-03-08T00:00:00.000+01:00"
-45.815,5.39325435312673e-05,"2011-03-09T00:00:00.000+01:00"
-45.511,5.46140144478747e-05,"2011-03-10T00:00:00.000+01:00"
-28.379,3.33648305061496e-05,"2011-03-11T00:00:00.000+01:00"
-39.389,5.24315036262257e-05,"2011-03-12T00:00:00.000+01:00"
-44.5,6.52772325091496e-05,"2011-03-13T00:00:00.000+01:00"
-77.595,9.33688430864774e-05,"2011-03-14T00:00:00.000+01:00"
-105.095,0.000125630796869241,"2011-03-15T00:00:00.000+01:00"
-90.721,0.000101483995223571,"2011-03-16T00:00:00.000+01:00"
-65.36,7.56397282382607e-05,"2011-03-17T00:00:00.000+01:00"
-51.782,6.32509575502024e-05,"2011-03-18T00:00:00.000+01:00"
-42.189,5.84131422555901e-05,"2011-03-19T00:00:00.000+01:00"
-42.089,6.17712869646167e-05,"2011-03-20T00:00:00.000+01:00"
-35.241,4.35304155428957e-05,"2011-03-21T00:00:00.000+01:00"
-33.197,4.08033869655385e-05,"2011-03-22T00:00:00.000+01:00"
-34.097,3.98408122529386e-05,"2011-03-23T00:00:00.000+01:00"
-26.387,3.04930297414304e-05,"2011-03-24T00:00:00.000+01:00"
-24.917,3.0684812178027e-05,"2011-03-25T00:00:00.000+01:00"
-43.402,6.11092767048592e-05,"2011-03-26T00:00:00.000+01:00"
-40.653,6.07277631084786e-05,"2011-03-27T00:00:00.000+01:00"
-37.68,4.69021079293533e-05,"2011-03-28T00:00:00.000+02:00"
-38.86,4.70715045479898e-05,"2011-03-29T00:00:00.000+02:00"
-36.439,4.38662404962909e-05,"2011-03-30T00:00:00.000+02:00"
-64.263,8.15023313074574e-05,"2011-03-31T00:00:00.000+02:00"
-44.339,5.8209995137846e-05,"2011-04-01T00:00:00.000+02:00"
-41.729,5.95672208228721e-05,"2011-04-02T00:00:00.000+02:00"
-41.791,6.66827595009904e-05,"2011-04-03T00:00:00.000+02:00"
-39.091,5.12722573681123e-05,"2011-04-04T00:00:00.000+02:00"
-41.666,5.30861190936641e-05,"2011-04-05T00:00:00.000+02:00"
-38.361,4.91533679296112e-05,"2011-04-06T00:00:00.000+02:00"
-46.3,5.92382755371558e-05,"2011-04-07T00:00:00.000+02:00"
-40.403,5.23615600779696e-05,"2011-04-08T00:00:00.000+02:00"
-40.016,5.91626932711986e-05,"2011-04-09T00:00:00.000+02:00"
-40.264,6.11539828247587e-05,"2011-04-10T00:00:00.000+02:00"
-42.594,5.51367637691259e-05,"2011-04-11T00:00:00.000+02:00"
-39.139,4.94455558110448e-05,"2011-04-12T00:00:00.000+02:00"
-38.652,4.90279847492728e-05,"2011-04-13T00:00:00.000+02:00"
