"value","percentage","datetime"
0.68,9.47129883898924e-07,"2014-06-28T00:00:00.000+02:00"
0.685,1.06628575514925e-06,"2014-06-29T00:00:00.000+02:00"
0.655,9.01083996756885e-07,"2014-06-30T00:00:00.000+02:00"
0.67,8.86595024372087e-07,"2014-07-01T00:00:00.000+02:00"
1.006,1.34290123139918e-06,"2014-07-02T00:00:00.000+02:00"
1.423,1.92908922596333e-06,"2014-07-03T00:00:00.000+02:00"
1.526,2.05321702254475e-06,"2014-07-04T00:00:00.000+02:00"
1.488,2.13213553779851e-06,"2014-07-05T00:00:00.000+02:00"
1.475,2.29069767954717e-06,"2014-07-06T00:00:00.000+02:00"
1.612,2.2182652974647e-06,"2014-07-07T00:00:00.000+02:00"
1.694,2.26958985463324e-06,"2014-07-08T00:00:00.000+02:00"
1.172,1.49354824306548e-06,"2014-07-09T00:00:00.000+02:00"
1.149,1.46221818898866e-06,"2014-07-10T00:00:00.000+02:00"
0.455,5.87983381816634e-07,"2014-07-11T00:00:00.000+02:00"
0.361,5.17511320857605e-07,"2014-07-12T00:00:00.000+02:00"
-0.827,1.30565928639676e-06,"2014-07-13T00:00:00.000+02:00"
-1.37,1.81052942514249e-06,"2014-07-14T00:00:00.000+02:00"
-0.584,7.38772824789648e-07,"2014-07-15T00:00:00.000+02:00"
-0.634,7.9272853273597e-07,"2014-07-16T00:00:00.000+02:00"
-0.853,1.04095240384253e-06,"2014-07-17T00:00:00.000+02:00"
-0.904,1.10806496344146e-06,"2014-07-18T00:00:00.000+02:00"
-0.544,7.83006307030882e-07,"2014-07-19T00:00:00.000+02:00"
-0.73,1.1249031080888e-06,"2014-07-20T00:00:00.000+02:00"
-3.45,4.57071190197163e-06,"2014-07-21T00:00:00.000+02:00"
-5.856,7.44230139475578e-06,"2014-07-22T00:00:00.000+02:00"
-7.75,9.81381625420371e-06,"2014-07-23T00:00:00.000+02:00"
-6.689,8.47457216973152e-06,"2014-07-24T00:00:00.000+02:00"
-2.478,3.17942689190521e-06,"2014-07-25T00:00:00.000+02:00"
4.674,5.92543579916389e-06,"2014-07-28T00:00:00.000+02:00"
7.592,9.87380725494323e-06,"2014-07-29T00:00:00.000+02:00"
8.053,1.05944206029052e-05,"2014-07-30T00:00:00.000+02:00"
6.958,9.1520399178151e-06,"2014-07-31T00:00:00.000+02:00"
9.242,1.23006415479323e-05,"2014-08-01T00:00:00.000+02:00"
9.59,1.42771176871267e-05,"2014-08-02T00:00:00.000+02:00"
10.175,1.64924982133478e-05,"2014-08-03T00:00:00.000+02:00"
7.861,1.08801266181552e-05,"2014-08-04T00:00:00.000+02:00"
7.795,1.06404560669554e-05,"2014-08-05T00:00:00.000+02:00"
7.943,1.06504329486138e-05,"2014-08-06T00:00:00.000+02:00"
7.229,9.60625594043246e-06,"2014-08-07T00:00:00.000+02:00"
9.934,1.29670176687194e-05,"2014-08-08T00:00:00.000+02:00"
8.434,1.19084601777428e-05,"2014-08-09T00:00:00.000+02:00"
10.81,1.67321030426924e-05,"2014-08-10T00:00:00.000+02:00"
9.168,1.25338943545278e-05,"2014-08-11T00:00:00.000+02:00"
9.278,1.25966832949177e-05,"2014-08-12T00:00:00.000+02:00"
9.43,1.26839006029882e-05,"2014-08-13T00:00:00.000+02:00"
9.636,1.39162059459202e-05,"2014-08-14T00:00:00.000+02:00"
8.848,1.39344821594682e-05,"2014-08-15T00:00:00.000+02:00"
8.241,1.26402233847887e-05,"2014-08-16T00:00:00.000+02:00"
8.89,1.4453759199458e-05,"2014-08-17T00:00:00.000+02:00"
8.129,1.15558396231477e-05,"2014-08-18T00:00:00.000+02:00"
10.072,1.41129188848175e-05,"2014-08-19T00:00:00.000+02:00"
7.121,9.97079284398228e-06,"2014-08-20T00:00:00.000+02:00"
3.186,4.48970108229698e-06,"2014-08-21T00:00:00.000+02:00"
9.148,1.28112278833557e-05,"2014-08-22T00:00:00.000+02:00"
11.096,1.69406115670395e-05,"2014-08-23T00:00:00.000+02:00"
11.036,1.78149525206575e-05,"2014-08-24T00:00:00.000+02:00"
10.921,1.46690978461036e-05,"2014-08-25T00:00:00.000+02:00"
7.97,1.01515046213699e-05,"2014-08-26T00:00:00.000+02:00"
10.285,1.29885438391327e-05,"2014-08-27T00:00:00.000+02:00"
8.076,1.03597900169595e-05,"2014-08-28T00:00:00.000+02:00"
8.605,1.11778953299491e-05,"2014-08-29T00:00:00.000+02:00"
8.453,1.17919018725384e-05,"2014-08-30T00:00:00.000+02:00"
7.643,1.13561584610032e-05,"2014-08-31T00:00:00.000+02:00"
6.097,7.5771921322026e-06,"2014-09-01T00:00:00.000+02:00"
3.114,3.85130720762522e-06,"2014-09-02T00:00:00.000+02:00"
-1.057,1.30782107576875e-06,"2014-09-03T00:00:00.000+02:00"
-1.586,1.96872898194063e-06,"2014-09-04T00:00:00.000+02:00"
1.138,1.4160279081531e-06,"2014-09-05T00:00:00.000+02:00"
1.385,1.93313511203175e-06,"2014-09-06T00:00:00.000+02:00"
0.935,1.37837901101032e-06,"2014-09-07T00:00:00.000+02:00"
2.599,3.3809443888803e-06,"2014-09-08T00:00:00.000+02:00"
-0.756,9.53432389644955e-07,"2014-09-09T00:00:00.000+02:00"
-1.475,1.88229773531686e-06,"2014-09-10T00:00:00.000+02:00"
2.23,2.88278953794102e-06,"2014-09-11T00:00:00.000+02:00"
3.621,4.65800312046846e-06,"2014-09-12T00:00:00.000+02:00"
6.664,9.69501414606439e-06,"2014-09-13T00:00:00.000+02:00"
6.231,9.45009985711679e-06,"2014-09-14T00:00:00.000+02:00"
1.156,1.57713859567227e-06,"2014-09-15T00:00:00.000+02:00"
0.396,5.15442191178493e-07,"2014-09-16T00:00:00.000+02:00"
2.046,2.68859824146122e-06,"2014-09-17T00:00:00.000+02:00"
6.478,8.6090390835769e-06,"2014-09-18T00:00:00.000+02:00"
3.277,4.3466261526269e-06,"2014-09-19T00:00:00.000+02:00"
0.924,1.37644116462349e-06,"2014-09-20T00:00:00.000+02:00"
1.864,2.96863737338787e-06,"2014-09-21T00:00:00.000+02:00"
4.718,6.33553510366581e-06,"2014-09-22T00:00:00.000+02:00"
7.681,1.04140514457368e-05,"2014-09-23T00:00:00.000+02:00"
4.353,5.86332906454332e-06,"2014-09-24T00:00:00.000+02:00"
4.216,5.66386208811788e-06,"2014-09-25T00:00:00.000+02:00"
6.815,9.39644268824678e-06,"2014-09-26T00:00:00.000+02:00"
5.621,8.46913468762617e-06,"2014-09-27T00:00:00.000+02:00"
6.384,1.04774378371102e-05,"2014-09-28T00:00:00.000+02:00"
7.379,1.04347629783043e-05,"2014-09-29T00:00:00.000+02:00"
9.195,1.25767374525481e-05,"2014-09-30T00:00:00.000+02:00"
8.744,1.17992641018664e-05,"2014-10-01T00:00:00.000+02:00"
5.914,7.94393030532309e-06,"2014-10-02T00:00:00.000+02:00"
8.523,1.18262743853757e-05,"2014-10-03T00:00:00.000+02:00"
8.184,1.26656205344895e-05,"2014-10-04T00:00:00.000+02:00"
8.904,1.42398677739358e-05,"2014-10-05T00:00:00.000+02:00"
10.113,1.41848643306514e-05,"2014-10-06T00:00:00.000+02:00"
9.341,1.27511849660764e-05,"2014-10-07T00:00:00.000+02:00"
7.418,1.00455492939261e-05,"2014-10-08T00:00:00.000+02:00"
3.51,4.77277288571352e-06,"2014-10-09T00:00:00.000+02:00"
2.653,3.77000209926449e-06,"2014-10-10T00:00:00.000+02:00"
3.645,5.71223911404723e-06,"2014-10-11T00:00:00.000+02:00"
7.981,1.31028188339928e-05,"2014-10-12T00:00:00.000+02:00"
6.598,9.91264747585227e-06,"2014-10-13T00:00:00.000+02:00"
1.653,2.332671717734e-06,"2014-10-14T00:00:00.000+02:00"
5.949,8.04072878229985e-06,"2014-10-15T00:00:00.000+02:00"
12.437,1.67708750163923e-05,"2014-10-16T00:00:00.000+02:00"
-0.666,9.32733930499566e-07,"2014-10-17T00:00:00.000+02:00"
-0.173,2.7245921981589e-07,"2014-10-18T00:00:00.000+02:00"
0.154,2.59060535405388e-07,"2014-10-19T00:00:00.000+02:00"
5.561,7.82057447110538e-06,"2014-10-20T00:00:00.000+02:00"
7.719,1.04511788958228e-05,"2014-10-21T00:00:00.000+02:00"
1.532,2.02529970548969e-06,"2014-10-22T00:00:00.000+02:00"
5.018,6.78356970696397e-06,"2014-10-23T00:00:00.000+02:00"
6.437,8.94422409367324e-06,"2014-10-24T00:00:00.000+02:00"
4.128,6.48024222731012e-06,"2014-10-25T00:00:00.000+02:00"
-0.764,1.22325524918281e-06,"2014-10-26T00:00:00.000+02:00"
-1.028,1.46070906188294e-06,"2014-10-27T00:00:00.000+01:00"
-0.009,1.26376787868742e-08,"2014-10-28T00:00:00.000+01:00"
9.203,1.28147656578439e-05,"2014-10-29T00:00:00.000+01:00"
3.299,4.64185904667866e-06,"2014-10-30T00:00:00.000+01:00"
8.462,1.19517848052078e-05,"2014-10-31T00:00:00.000+01:00"
8.764,1.46757061291191e-05,"2014-11-01T00:00:00.000+01:00"
7.076,1.19698435388697e-05,"2014-11-02T00:00:00.000+01:00"
7.971,1.11919605335106e-05,"2014-11-03T00:00:00.000+01:00"
7.627,1.0553874311831e-05,"2014-11-04T00:00:00.000+01:00"
7.797,1.07046279398837e-05,"2014-11-05T00:00:00.000+01:00"
6.257,8.64731241702832e-06,"2014-11-06T00:00:00.000+01:00"
12.677,1.71703151351493e-05,"2014-11-07T00:00:00.000+01:00"
6.923,1.08683882904358e-05,"2014-11-08T00:00:00.000+01:00"
6.589,1.08338575137472e-05,"2014-11-09T00:00:00.000+01:00"
4.449,6.3763764599591e-06,"2014-11-10T00:00:00.000+01:00"
4.362,5.82031105007188e-06,"2014-11-11T00:00:00.000+01:00"
8.614,1.14248373874538e-05,"2014-11-12T00:00:00.000+01:00"
-0.57,7.64238571051497e-07,"2014-11-13T00:00:00.000+01:00"
2.188,2.94482734871603e-06,"2014-11-14T00:00:00.000+01:00"
7.619,1.04268966648202e-05,"2014-11-15T00:00:00.000+01:00"
4.71,6.82500210759977e-06,"2014-11-16T00:00:00.000+01:00"
-0.777,1.03213781186954e-06,"2014-11-17T00:00:00.000+01:00"
-1.081,1.46571093599823e-06,"2014-11-18T00:00:00.000+01:00"
3.577,4.81728161924099e-06,"2014-11-19T00:00:00.000+01:00"
3.905,5.10561875854695e-06,"2014-11-20T00:00:00.000+01:00"
8.01,1.06093060771969e-05,"2014-11-21T00:00:00.000+01:00"
5.915,9.14483193358861e-06,"2014-11-22T00:00:00.000+01:00"
3.179,5.00316880472786e-06,"2014-11-23T00:00:00.000+01:00"
9.254,1.32388443791282e-05,"2014-11-24T00:00:00.000+01:00"
-2.168,3.06164102998914e-06,"2014-11-25T00:00:00.000+01:00"
-0.834,1.19565000507549e-06,"2014-11-26T00:00:00.000+01:00"
8.583,1.10786613481692e-05,"2014-11-27T00:00:00.000+01:00"
4.557,5.84560370597985e-06,"2014-11-28T00:00:00.000+01:00"
3.882,5.96526950025778e-06,"2014-11-29T00:00:00.000+01:00"
5.7,8.62261389865973e-06,"2014-11-30T00:00:00.000+01:00"
5.402,6.96838394925609e-06,"2014-12-01T00:00:00.000+01:00"
4.428,5.45745527719546e-06,"2014-12-02T00:00:00.000+01:00"
4.979,6.19503977735005e-06,"2014-12-03T00:00:00.000+01:00"
3.803,4.85899108841742e-06,"2014-12-04T00:00:00.000+01:00"
5.285,6.60258839430094e-06,"2014-12-05T00:00:00.000+01:00"
7.376,1.00116615361222e-05,"2014-12-06T00:00:00.000+01:00"
7.961,1.10196163663896e-05,"2014-12-07T00:00:00.000+01:00"
4.241,6.0239505541298e-06,"2014-12-08T00:00:00.000+01:00"
6.21,7.34712335541491e-06,"2014-12-09T00:00:00.000+01:00"
14.287,1.73182569213562e-05,"2014-12-10T00:00:00.000+01:00"
16.246,2.01147462451525e-05,"2014-12-11T00:00:00.000+01:00"
8.895,1.1062252655819e-05,"2014-12-12T00:00:00.000+01:00"
5.09,6.8324169037597e-06,"2014-12-13T00:00:00.000+01:00"
6.923,1.02357310899836e-05,"2014-12-14T00:00:00.000+01:00"
15.602,1.99680012332295e-05,"2014-12-15T00:00:00.000+01:00"
0.921,1.1211053330243e-06,"2014-12-16T00:00:00.000+01:00"
1.349,1.63860743754684e-06,"2014-12-17T00:00:00.000+01:00"
4.702,5.87878512447365e-06,"2014-12-18T00:00:00.000+01:00"
0.518,6.74570214321974e-07,"2014-12-19T00:00:00.000+01:00"
7.469,1.06735886587309e-05,"2014-12-20T00:00:00.000+01:00"
7.315,1.10201041666044e-05,"2014-12-21T00:00:00.000+01:00"
6.548,8.7842407554871e-06,"2014-12-22T00:00:00.000+01:00"
3.984,5.2679230490362e-06,"2014-12-23T00:00:00.000+01:00"
5.658,8.37861125178958e-06,"2014-12-24T00:00:00.000+01:00"
6.297,1.10278332915244e-05,"2014-12-25T00:00:00.000+01:00"
5.147,7.62580748496844e-06,"2014-12-26T00:00:00.000+01:00"
5.126,7.35228667640338e-06,"2014-12-27T00:00:00.000+01:00"
1.383,1.91060636958559e-06,"2014-12-28T00:00:00.000+01:00"
