"value","percentage","datetime"
627410.852,1,"2011-01-01T00:00:00.000+01:00"
685838.021,1,"2011-01-02T00:00:00.000+01:00"
842917.239,1,"2011-01-03T00:00:00.000+01:00"
871499.828,1,"2011-01-04T00:00:00.000+01:00"
838808.749,1,"2011-01-05T00:00:00.000+01:00"
735446.029,1,"2011-01-06T00:00:00.000+01:00"
792363.673,1,"2011-01-07T00:00:00.000+01:00"
764465.467,1,"2011-01-08T00:00:00.000+01:00"
695752.771,1,"2011-01-09T00:00:00.000+01:00"
883448.037,1,"2011-01-10T00:00:00.000+01:00"
910077.697,1,"2011-01-11T00:00:00.000+01:00"
892782.734,1,"2011-01-12T00:00:00.000+01:00"
878189.566,1,"2011-01-13T00:00:00.000+01:00"
865908.931,1,"2011-01-14T00:00:00.000+01:00"
740805.414,1,"2011-01-15T00:00:00.000+01:00"
689975.351,1,"2011-01-16T00:00:00.000+01:00"
857485.386,1,"2011-01-17T00:00:00.000+01:00"
895281.25,1,"2011-01-18T00:00:00.000+01:00"
899424.709,1,"2011-01-19T00:00:00.000+01:00"
874608.244,1,"2011-01-20T00:00:00.000+01:00"
892477.166,1,"2011-01-21T00:00:00.000+01:00"
826241.474,1,"2011-01-22T00:00:00.000+01:00"
778899.22,1,"2011-01-23T00:00:00.000+01:00"
933095.572,1,"2011-01-24T00:00:00.000+01:00"
952908.23,1,"2011-01-25T00:00:00.000+01:00"
955246.931,1,"2011-01-26T00:00:00.000+01:00"
949388.831,1,"2011-01-27T00:00:00.000+01:00"
940287.072,1,"2011-01-28T00:00:00.000+01:00"
800570.274,1,"2011-01-29T00:00:00.000+01:00"
740312.724,1,"2011-01-30T00:00:00.000+01:00"
898500.152,1,"2011-01-31T00:00:00.000+01:00"
925316.776,1,"2011-02-01T00:00:00.000+01:00"
925409.824,1,"2011-02-02T00:00:00.000+01:00"
901282.756,1,"2011-02-03T00:00:00.000+01:00"
884828.013,1,"2011-02-04T00:00:00.000+01:00"
778230.388,1,"2011-02-05T00:00:00.000+01:00"
712456.855,1,"2011-02-06T00:00:00.000+01:00"
840110.879,1,"2011-02-07T00:00:00.000+01:00"
848092.958,1,"2011-02-08T00:00:00.000+01:00"
853715.617,1,"2011-02-09T00:00:00.000+01:00"
858590.04,1,"2011-02-10T00:00:00.000+01:00"
852481.786,1,"2011-02-11T00:00:00.000+01:00"
760143.141,1,"2011-02-12T00:00:00.000+01:00"
721397.106,1,"2011-02-13T00:00:00.000+01:00"
873403.545,1,"2011-02-14T00:00:00.000+01:00"
895445.381,1,"2011-02-15T00:00:00.000+01:00"
893117.819,1,"2011-02-16T00:00:00.000+01:00"
886294.337,1,"2011-02-17T00:00:00.000+01:00"
861381.493,1,"2011-02-18T00:00:00.000+01:00"
740489.792,1,"2011-02-19T00:00:00.000+01:00"
704501.837,1,"2011-02-20T00:00:00.000+01:00"
858782.362,1,"2011-02-21T00:00:00.000+01:00"
865065.132,1,"2011-02-22T00:00:00.000+01:00"
823980.147,1,"2011-02-23T00:00:00.000+01:00"
814783.101,1,"2011-02-24T00:00:00.000+01:00"
792784.486,1,"2011-02-25T00:00:00.000+01:00"
719136.861,1,"2011-02-26T00:00:00.000+01:00"
706834.519,1,"2011-02-27T00:00:00.000+01:00"
839067.054,1,"2011-02-28T00:00:00.000+01:00"
881269.374,1,"2011-03-01T00:00:00.000+01:00"
904108.62,1,"2011-03-02T00:00:00.000+01:00"
895970.996,1,"2011-03-03T00:00:00.000+01:00"
893535.184,1,"2011-03-04T00:00:00.000+01:00"
754761.366,1,"2011-03-05T00:00:00.000+01:00"
679954.705,1,"2011-03-06T00:00:00.000+01:00"
