"value","percentage","datetime"
7.95,7.58401384514672e-05,"2015-01-01T00:00:00.000+01:00"
7.95,7.58383876518392e-05,"2015-02-01T00:00:00.000+01:00"
7.95,7.58382306625986e-05,"2015-03-01T00:00:00.000+01:00"
7.95,7.58399329815391e-05,"2015-04-01T00:00:00.000+02:00"
7.95,7.58634694206283e-05,"2015-05-01T00:00:00.000+02:00"
7.95,7.58681723798168e-05,"2015-06-01T00:00:00.000+02:00"
7.95,7.58659294241493e-05,"2015-07-01T00:00:00.000+02:00"
7.95,7.58798794592279e-05,"2015-08-01T00:00:00.000+02:00"
7.95,7.59038197208091e-05,"2015-09-01T00:00:00.000+02:00"
7.95,7.52720174485649e-05,"2015-10-01T00:00:00.000+02:00"
7.95,7.5269348523338e-05,"2015-11-01T00:00:00.000+01:00"
7.95,7.52493272875784e-05,"2015-12-01T00:00:00.000+01:00"
7.95,7.52691482724964e-05,2016-01-01T00:00:00.000+01:00
7.95,7.55821077242975e-05,2016-02-01T00:00:00.000+01:00
7.95,7.58911830024522e-05,2016-03-01T00:00:00.000+01:00
7.95,7.59518493554014e-05,2016-04-01T00:00:00.000+02:00
7.95,7.59913705155509e-05,2016-05-01T00:00:00.000+02:00
7.95,7.60083991288807e-05,2016-06-01T00:00:00.000+02:00
7.95,7.60117522774125e-05,2016-07-01T00:00:00.000+02:00
7.95,7.60114833750935e-05,2016-08-01T00:00:00.000+02:00
7.95,7.60175523093989e-05,2016-09-01T00:00:00.000+02:00
7.95,7.60194625888718e-05,2016-10-01T00:00:00.000+02:00
7.95,7.60422785120858e-05,2016-11-01T00:00:00.000+01:00
7.95,7.60410907689875e-05,2016-12-01T00:00:00.000+01:00
7.95,7.60442453158658e-05,2017-01-01T00:00:00.000+01:00
7.95,7.60595606250619e-05,2017-02-01T00:00:00.000+01:00
7.95,7.60586925126158e-05,2017-03-01T00:00:00.000+01:00
7.95,7.60593990804237e-05,2017-04-01T00:00:00.000+02:00
7.95,7.60631351576756e-05,2017-05-01T00:00:00.000+02:00
7.95,7.6074462066235e-05,2017-06-01T00:00:00.000+02:00
7.95,7.60862867876479e-05,2017-07-01T00:00:00.000+02:00
7.95,7.60999610416061e-05,2017-08-01T00:00:00.000+02:00
7.95,7.60965352797608e-05,2017-09-01T00:00:00.000+02:00
7.95,7.61050306861227e-05,2017-10-01T00:00:00.000+02:00
7.95,7.64476472664398e-05,2017-11-01T00:00:00.000+01:00
7.95,7.64188720816714e-05,2017-12-01T00:00:00.000+01:00
7.95,7.64194597434494e-05,2018-01-01T00:00:00.000+01:00
7.95,7.63957826606673e-05,2018-02-01T00:00:00.000+01:00
7.95,7.63854989153932e-05,2018-03-01T00:00:00.000+01:00
7.95,7.63764462264377e-05,2018-04-01T00:00:00.000+02:00
7.95,7.63630120468943e-05,2018-05-01T00:00:00.000+02:00
7.95,7.6361971960806e-05,2018-06-01T00:00:00.000+02:00
7.95,7.63616771037551e-05,2018-07-01T00:00:00.000+02:00
7.95,7.65814377557103e-05,2018-08-01T00:00:00.000+02:00
7.95,7.65711017579858e-05,2018-09-01T00:00:00.000+02:00
7.95,7.65368513097506e-05,2018-10-01T00:00:00.000+02:00
7.95,7.64585911666899e-05,2018-11-01T00:00:00.000+01:00
7.95,7.63738510190563e-05,2018-12-01T00:00:00.000+01:00
7.95,7.63506260074261e-05,2019-01-01T00:00:00.000+01:00
7.95,7.61932232539647e-05,2019-02-01T00:00:00.000+01:00
