"value","percentage","datetime"
17007.899,0.16224923458221,"2015-01-01T00:00:00.000+01:00"
17010.249,0.162267906630982,"2015-02-01T00:00:00.000+01:00"
17010.249,0.162267570728332,"2015-03-01T00:00:00.000+01:00"
17010.189,0.162270640724945,"2015-04-01T00:00:00.000+02:00"
17010.189,0.162321000382466,"2015-05-01T00:00:00.000+02:00"
17010.189,0.162331063052234,"2015-06-01T00:00:00.000+02:00"
17012.914,0.162352268279638,"2015-07-01T00:00:00.000+02:00"
17012.914,0.1623821212038,"2015-08-01T00:00:00.000+02:00"
17012.914,0.162433353104608,"2015-09-01T00:00:00.000+02:00"
17012.914,0.161081303076596,"2015-10-01T00:00:00.000+02:00"
17015.721,0.161102167839608,"2015-11-01T00:00:00.000+01:00"
17042.481,0.161312607617778,"2015-12-01T00:00:00.000+01:00"
17042.481,0.161355098027698,2016-01-01T00:00:00.000+01:00
17042.481,0.162025991802678,2016-02-01T00:00:00.000+01:00
17048.826,0.162749128797857,2016-03-01T00:00:00.000+01:00
17048.871,0.162879658097066,2016-04-01T00:00:00.000+02:00
17049.146,0.162967040334556,2016-05-01T00:00:00.000+02:00
17049.511,0.163007048684307,2016-06-01T00:00:00.000+02:00
17049.511,0.163014239821763,2016-07-01T00:00:00.000+02:00
17049.511,0.163013663135846,2016-08-01T00:00:00.000+02:00
17049.511,0.163026678527317,2016-09-01T00:00:00.000+02:00
17049.511,0.163030775298498,2016-10-01T00:00:00.000+02:00
17049.511,0.163079706158097,2016-11-01T00:00:00.000+01:00
17049.511,0.163077158933063,2016-12-01T00:00:00.000+01:00
17049.511,0.163083924150887,2017-01-01T00:00:00.000+01:00
17049.511,0.163116769249328,2017-02-01T00:00:00.000+01:00
17050.698,0.163126263686475,2017-03-01T00:00:00.000+01:00
17050.568,0.163126535353447,2017-04-01T00:00:00.000+02:00
17050.783,0.163136605267069,2017-05-01T00:00:00.000+02:00
17053.655,0.163188381180901,2017-06-01T00:00:00.000+02:00
17053.615,0.163213363730331,2017-07-01T00:00:00.000+02:00
17053.915,0.163245568189542,2017-08-01T00:00:00.000+02:00
17053.915,0.16323821942837,2017-09-01T00:00:00.000+02:00
17053.915,0.163256443319941,2017-10-01T00:00:00.000+02:00
17053.725,0.163989579041367,2017-11-01T00:00:00.000+01:00
17053.725,0.163927852741007,2017-12-01T00:00:00.000+01:00
17057.94,0.163969630080022,2018-01-01T00:00:00.000+01:00
17064.24,0.163979367334524,2018-02-01T00:00:00.000+01:00
17064.24,0.163957293837989,2018-03-01T00:00:00.000+01:00
17064.252,0.163937978021683,2018-04-01T00:00:00.000+02:00
