"value","percentage","datetime"
11.32,0.000107988725442844,"2015-01-01T00:00:00.000+01:00"
11.32,0.000107986232480355,"2015-02-01T00:00:00.000+01:00"
11.32,0.000107986008943474,"2015-03-01T00:00:00.000+01:00"
11.32,0.000107988432874342,"2015-04-01T00:00:00.000+02:00"
11.32,0.000108021946395159,"2015-05-01T00:00:00.000+02:00"
11.32,0.000108028642935789,"2015-06-01T00:00:00.000+02:00"
11.32,0.000108025449192625,"2015-07-01T00:00:00.000+02:00"
11.32,0.0001080453126388,"2015-08-01T00:00:00.000+02:00"
11.32,0.000108079401162209,"2015-09-01T00:00:00.000+02:00"
11.32,0.00010717977830412,"2015-10-01T00:00:00.000+02:00"
11.32,0.000107175978023168,"2015-11-01T00:00:00.000+01:00"
11.32,0.000107147469798162,"2015-12-01T00:00:00.000+01:00"
11.32,0.000107175692886121,2016-01-01T00:00:00.000+01:00
11.32,0.00010762131565271,2016-02-01T00:00:00.000+01:00
11.32,0.000108061407746888,2016-03-01T00:00:00.000+01:00
11.32,0.000108147790528697,2016-04-01T00:00:00.000+02:00
11.32,0.000108204064683778,2016-05-01T00:00:00.000+02:00
11.32,0.000108228311715589,2016-06-01T00:00:00.000+02:00
11.32,0.000108233086261674,2016-07-01T00:00:00.000+02:00
11.32,0.000108232703371831,2016-08-01T00:00:00.000+02:00
11.32,0.000108241344923572,2016-09-01T00:00:00.000+02:00
11.32,0.000108244064969312,2016-10-01T00:00:00.000+02:00
11.32,0.000108276552548027,2016-11-01T00:00:00.000+01:00
11.32,0.000108274861321376,2016-12-01T00:00:00.000+01:00
11.32,0.000108279353078692,2017-01-01T00:00:00.000+01:00
11.32,0.000108301160537824,2017-02-01T00:00:00.000+01:00
11.32,0.000108299924433058,2017-03-01T00:00:00.000+01:00
11.32,0.000108300930514515,2017-04-01T00:00:00.000+02:00
11.32,0.000108306250312564,2017-05-01T00:00:00.000+02:00
11.32,0.000108322378690538,2017-06-01T00:00:00.000+02:00
11.32,0.000108339215903921,2017-07-01T00:00:00.000+02:00
11.32,0.000108358686665532,2017-08-01T00:00:00.000+02:00
11.32,0.000108353808725395,2017-09-01T00:00:00.000+02:00
11.32,0.000108365905329171,2017-10-01T00:00:00.000+02:00
11.32,0.000108853756862402,2017-11-01T00:00:00.000+01:00
11.32,0.000108812783894908,2017-12-01T00:00:00.000+01:00
11.32,0.000108813620666144,2018-01-01T00:00:00.000+01:00
11.32,0.000108779906882862,2018-02-01T00:00:00.000+01:00
11.32,0.000108765263864434,2018-03-01T00:00:00.000+01:00
11.32,0.000108752373746324,2018-04-01T00:00:00.000+02:00
11.32,0.000108733244826521,2018-05-01T00:00:00.000+02:00
11.32,0.000108731763848594,2018-06-01T00:00:00.000+02:00
11.32,0.000108731344001825,2018-07-01T00:00:00.000+02:00
11.32,0.00010904426105593,2018-08-01T00:00:00.000+02:00
11.32,0.00010902954363527,2018-09-01T00:00:00.000+02:00
11.32,0.000108980774443569,2018-10-01T00:00:00.000+02:00
11.32,0.000108869339875085,2018-11-01T00:00:00.000+01:00
11.32,0.000108748678432166,2018-12-01T00:00:00.000+01:00
11.32,0.000108715608352712,2019-01-01T00:00:00.000+01:00
11.32,0.000108491482671054,2019-02-01T00:00:00.000+01:00
11.32,0.000108828092568483,2019-03-01T00:00:00.000+01:00
11.32,0.000108264280185279,2019-04-01T00:00:00.000+02:00
11.32,0.000108107482445475,2019-05-01T00:00:00.000+02:00
11.32,0.000107884151901,2019-06-01T00:00:00.000+02:00
11.32,0.000107646174328187,2019-07-01T00:00:00.000+02:00
11.32,0.000106966592424418,2019-08-01T00:00:00.000+02:00
11.32,0.000106369533585569,2019-09-01T00:00:00.000+02:00
11.32,0.000104831074308572,2019-10-01T00:00:00.000+02:00
11.32,0.000103432490339958,2019-11-01T00:00:00.000+01:00
11.32,0.000102912787349298,2019-12-01T00:00:00.000+01:00
11.32,0.000102933095842797,2020-01-01T00:00:00.000+01:00
11.32,0.000102888738581247,2020-02-01T00:00:00.000+01:00
11.32,0.000102078558414135,2020-03-01T00:00:00.000+01:00
11.32,0.000101983125846772,2020-04-01T00:00:00.000+02:00
11.32,0.000101608964488591,2020-05-01T00:00:00.000+02:00
11.32,0.000101348478210073,2020-06-01T00:00:00.000+02:00
11.32,0.000101020512429227,2020-07-01T00:00:00.000+02:00
11.32,0.000101766002436433,2020-08-01T00:00:00.000+02:00
11.32,0.000101166559461691,2020-09-01T00:00:00.000+02:00
11.32,0.000102120302551784,2020-10-01T00:00:00.000+02:00
11.32,0.000102148759617628,2020-11-01T00:00:00.000+01:00
11.32,0.000102150198511585,2020-12-01T00:00:00.000+01:00
11.32,0.000102358877512656,2021-01-01T00:00:00.000+01:00
11.32,0.000102411549533065,2021-02-01T00:00:00.000+01:00
11.32,0.000102102098201726,2021-03-01T00:00:00.000+01:00
11.32,0.000101898991220691,2021-04-01T00:00:00.000+02:00
11.32,0.000101489882229778,2021-05-01T00:00:00.000+02:00
11.32,0.000101100307152021,2021-06-01T00:00:00.000+02:00
11.32,0.000100799344141766,2021-07-01T00:00:00.000+02:00
11.32,0.000100663564972053,2021-08-01T00:00:00.000+02:00
11.32,0.000100369816668146,2021-09-01T00:00:00.000+02:00
11.32,9.9986882462973e-05,2021-10-01T00:00:00.000+02:00
11.32,9.96076803681049e-05,2021-11-01T00:00:00.000+01:00
11.32,9.98401270276873e-05,2021-12-01T00:00:00.000+01:00
11.32,9.95109703900185e-05,2022-01-01T00:00:00.000+01:00
11.32,9.92300154036191e-05,2022-02-01T00:00:00.000+01:00
11.32,9.9066446639972e-05,2022-03-01T00:00:00.000+01:00
11.32,9.90464790214789e-05,2022-04-01T00:00:00.000+02:00
11.32,9.90009674196125e-05,2022-05-01T00:00:00.000+02:00
