"value","percentage","datetime"
885.16,0.00844410779266676,"2015-01-01T00:00:00.000+01:00"
885.16,0.00844391285709459,"2015-02-01T00:00:00.000+01:00"
885.16,0.00844389537777431,"2015-03-01T00:00:00.000+01:00"
885.16,0.00844408491546404,"2015-04-01T00:00:00.000+02:00"
885.16,0.00844670548331614,"2015-05-01T00:00:00.000+02:00"
885.16,0.00844722911493316,"2015-06-01T00:00:00.000+02:00"
885.16,0.00844697938227422,"2015-07-01T00:00:00.000+02:00"
885.16,0.00844853259146291,"2015-08-01T00:00:00.000+02:00"
885.16,0.00845119812126684,"2015-09-01T00:00:00.000+02:00"
886.223,0.00839091737349931,"2015-10-01T00:00:00.000+02:00"
887.023,0.00839819413021595,"2015-11-01T00:00:00.000+01:00"
887.023,0.00839596025642888,"2015-12-01T00:00:00.000+01:00"
887.778,0.00840531998931576,2016-01-01T00:00:00.000+01:00
888.838,0.00845034584471058,2016-02-01T00:00:00.000+01:00
888.838,0.0084849015493753,2016-03-01T00:00:00.000+01:00
887.188,0.00847592066992703,2016-04-01T00:00:00.000+02:00
887.188,0.00848033107232083,2016-05-01T00:00:00.000+02:00
887.188,0.00848223139702558,2016-06-01T00:00:00.000+02:00
887.188,0.00848260559490479,2016-07-01T00:00:00.000+02:00
887.188,0.00848257558648835,2016-08-01T00:00:00.000+02:00
885.573,0.00846781029575991,2016-09-01T00:00:00.000+02:00
885.573,0.00846802308719685,2016-10-01T00:00:00.000+02:00
888.546,0.0084990015601006,2016-11-01T00:00:00.000+01:00
889.646,0.00850939021864989,2016-12-01T00:00:00.000+01:00
889.97,0.0085128423904102,2017-01-01T00:00:00.000+01:00
889.97,0.00851455687666495,2017-02-01T00:00:00.000+01:00
889.97,0.0085144596950255,2017-03-01T00:00:00.000+01:00
889.97,0.0085145387924031,2017-04-01T00:00:00.000+02:00
889.97,0.00851495703097818,2017-05-01T00:00:00.000+02:00
888.395,0.00850115367639407,2017-06-01T00:00:00.000+02:00
880.786,0.00842965235151512,2017-07-01T00:00:00.000+02:00
880.786,0.00843116733157133,2017-08-01T00:00:00.000+02:00
884.936,0.00847051113765163,2017-09-01T00:00:00.000+02:00
884.936,0.00847145678430877,2017-10-01T00:00:00.000+02:00
885.767,0.00851758530518901,2017-11-01T00:00:00.000+01:00
886.404,0.00852050237593483,2017-12-01T00:00:00.000+01:00
887.467,0.00853078599750186,2018-01-01T00:00:00.000+01:00
887.467,0.00852814289943578,2018-02-01T00:00:00.000+01:00
887.467,0.00852699491395562,2018-03-01T00:00:00.000+01:00
887.467,0.00852598435260855,2018-04-01T00:00:00.000+02:00
887.467,0.00852448468078253,2018-05-01T00:00:00.000+02:00
887.467,0.00852436857486045,2018-06-01T00:00:00.000+02:00
887.467,0.0085243356596526,2018-07-01T00:00:00.000+02:00
887.467,0.00854886777619459,2018-08-01T00:00:00.000+02:00
891.297,0.00858460292875314,2018-09-01T00:00:00.000+02:00
891.297,0.00858076301406626,2018-10-01T00:00:00.000+02:00
891.297,0.00857198904793676,2018-11-01T00:00:00.000+01:00
891.297,0.00856248859015494,2018-12-01T00:00:00.000+01:00
891.297,0.00855988476836992,2019-01-01T00:00:00.000+01:00
892.36,0.00855242574879345,2019-02-01T00:00:00.000+01:00
892.425,0.00857958573413681,2019-03-01T00:00:00.000+01:00
894.425,0.00855426491207759,2019-04-01T00:00:00.000+02:00
941.415,0.00899063653590162,2019-05-01T00:00:00.000+02:00
941.415,0.00897206350369966,2019-06-01T00:00:00.000+02:00
941.606,0.00895408865940516,2019-07-01T00:00:00.000+02:00
941.606,0.0088975605323663,2019-08-01T00:00:00.000+02:00
941.609,0.0088479249249094,2019-09-01T00:00:00.000+02:00
991.609,0.00918298911343184,2019-10-01T00:00:00.000+02:00
1041.522,0.00951653835723091,2019-11-01T00:00:00.000+01:00
1041.522,0.00946872191745723,2019-12-01T00:00:00.000+01:00
1091.022,0.00992069541454063,2020-01-01T00:00:00.000+01:00
1090.522,0.00991187570451405,2020-02-01T00:00:00.000+01:00
1090.522,0.00983382629672255,2020-03-01T00:00:00.000+01:00
1090.522,0.00982463271772733,2020-04-01T00:00:00.000+02:00
1090.522,0.0097885875593664,2020-05-01T00:00:00.000+02:00
1090.522,0.00976349338821598,2020-06-01T00:00:00.000+02:00
1090.522,0.00973189852079019,2020-07-01T00:00:00.000+02:00
1090.522,0.00980371594602327,2020-08-01T00:00:00.000+02:00
1090.522,0.00974596808809913,2020-09-01T00:00:00.000+02:00
1089.85,0.00983178548905142,2020-10-01T00:00:00.000+02:00
1089.85,0.00983452523580143,2020-11-01T00:00:00.000+01:00
1091.35,0.00984819957116769,2020-12-01T00:00:00.000+01:00
1091.35,0.0098683181071941,2021-01-01T00:00:00.000+01:00
1091.85,0.00987791964290432,2021-02-01T00:00:00.000+01:00
1092.85,0.00985709169785831,2021-03-01T00:00:00.000+01:00
1092.85,0.0098374834413014,2021-04-01T00:00:00.000+02:00
1094.874,0.0098161336851984,2021-05-01T00:00:00.000+02:00
1094.874,0.00977845385978466,2021-06-01T00:00:00.000+02:00
1092.666,0.00972968340689103,2021-07-01T00:00:00.000+02:00
1092.666,0.00971657728655064,2021-08-01T00:00:00.000+02:00
1092.666,0.00968822315366752,2021-09-01T00:00:00.000+02:00
1092.666,0.00965126032802887,2021-10-01T00:00:00.000+02:00
1092.666,0.00961465774532648,2021-11-01T00:00:00.000+01:00
1092.666,0.00963709472074514,2021-12-01T00:00:00.000+01:00
1092.666,0.00960532278906183,2022-01-01T00:00:00.000+01:00
1092.666,0.00957820353454159,2022-02-01T00:00:00.000+01:00
1092.666,0.00956241501628195,2022-03-01T00:00:00.000+01:00
1092.666,0.00956048763661513,2022-04-01T00:00:00.000+02:00
1092.666,0.00955609461718359,2022-05-01T00:00:00.000+02:00
