"value","percentage","datetime"
104825.758,1,"2015-01-01T00:00:00.000+01:00"
104828.178,1,"2015-02-01T00:00:00.000+01:00"
104828.395,1,"2015-03-01T00:00:00.000+01:00"
104826.042,1,"2015-04-01T00:00:00.000+02:00"
104793.52,1,"2015-05-01T00:00:00.000+02:00"
104787.024,1,"2015-06-01T00:00:00.000+02:00"
104790.122,1,"2015-07-01T00:00:00.000+02:00"
104770.857,1,"2015-08-01T00:00:00.000+02:00"
104737.812,1,"2015-09-01T00:00:00.000+02:00"
105616.938,1,"2015-10-01T00:00:00.000+02:00"
105620.683,1,"2015-11-01T00:00:00.000+01:00"
105648.785,1,"2015-12-01T00:00:00.000+01:00"
105620.964,1,2016-01-01T00:00:00.000+01:00
105183.624,1,2016-02-01T00:00:00.000+01:00
104755.252,1,2016-03-01T00:00:00.000+01:00
104671.579,1,2016-04-01T00:00:00.000+02:00
104617.142,1,2016-05-01T00:00:00.000+02:00
104593.704,1,2016-06-01T00:00:00.000+02:00
104589.09,1,2016-07-01T00:00:00.000+02:00
104589.46,1,2016-08-01T00:00:00.000+02:00
104581.11,1,2016-09-01T00:00:00.000+02:00
104578.482,1,2016-10-01T00:00:00.000+02:00
104547.104,1,2016-11-01T00:00:00.000+01:00
104548.737,1,2016-12-01T00:00:00.000+01:00
104544.4,1,2017-01-01T00:00:00.000+01:00
104523.349,1,2017-02-01T00:00:00.000+01:00
104524.542,1,2017-03-01T00:00:00.000+01:00
104523.571,1,2017-04-01T00:00:00.000+02:00
104518.437,1,2017-05-01T00:00:00.000+02:00
104502.875,1,2017-06-01T00:00:00.000+02:00
104486.634,1,2017-07-01T00:00:00.000+02:00
104467.859,1,2017-08-01T00:00:00.000+02:00
104472.562,1,2017-09-01T00:00:00.000+02:00
104460.9,1,2017-10-01T00:00:00.000+02:00
103992.736,1,2017-11-01T00:00:00.000+01:00
104031.894,1,2017-12-01T00:00:00.000+01:00
104031.094,1,2018-01-01T00:00:00.000+01:00
104063.336,1,2018-02-01T00:00:00.000+01:00
104077.346,1,2018-03-01T00:00:00.000+01:00
104089.682,1,2018-04-01T00:00:00.000+02:00
104107.994,1,2018-05-01T00:00:00.000+02:00
104109.412,1,2018-06-01T00:00:00.000+02:00
104109.814,1,2018-07-01T00:00:00.000+02:00
103811.057,1,2018-08-01T00:00:00.000+02:00
103825.07,1,2018-09-01T00:00:00.000+02:00
103871.532,1,2018-10-01T00:00:00.000+02:00
103977.851,1,2018-11-01T00:00:00.000+01:00
104093.219,1,2018-12-01T00:00:00.000+01:00
104124.883,1,2019-01-01T00:00:00.000+01:00
104339.988,1,2019-02-01T00:00:00.000+01:00
104017.26,1,2019-03-01T00:00:00.000+01:00
104558.955,1,2019-04-01T00:00:00.000+02:00
104710.606,1,2019-05-01T00:00:00.000+02:00
104927.367,1,2019-06-01T00:00:00.000+02:00
105159.334,1,2019-07-01T00:00:00.000+02:00
105827.434,1,2019-08-01T00:00:00.000+02:00
106421.45,1,2019-09-01T00:00:00.000+02:00
107983.249,1,2019-10-01T00:00:00.000+02:00
109443.367,1,2019-11-01T00:00:00.000+01:00
109996.049,1,2019-12-01T00:00:00.000+01:00
109974.347,1,2020-01-01T00:00:00.000+01:00
110021.759,1,2020-02-01T00:00:00.000+01:00
110894.983,1,2020-03-01T00:00:00.000+01:00
110998.755,1,2020-04-01T00:00:00.000+02:00
111407.493,1,2020-05-01T00:00:00.000+02:00
111693.833,1,2020-06-01T00:00:00.000+02:00
112056.45,1,2020-07-01T00:00:00.000+02:00
111235.577,1,2020-08-01T00:00:00.000+02:00
111894.682,1,2020-09-01T00:00:00.000+02:00
110849.652,1,2020-10-01T00:00:00.000+02:00
110818.771,1,2020-11-01T00:00:00.000+01:00
110817.21,1,2020-12-01T00:00:00.000+01:00
110591.287,1,2021-01-01T00:00:00.000+01:00
110534.408,1,2021-02-01T00:00:00.000+01:00
110869.416,1,2021-03-01T00:00:00.000+01:00
111090.403,1,2021-04-01T00:00:00.000+02:00
111538.212,1,2021-05-01T00:00:00.000+02:00
111968.008,1,2021-06-01T00:00:00.000+02:00
112302.318,1,2021-07-01T00:00:00.000+02:00
112453.796,1,2021-08-01T00:00:00.000+02:00
112782.91,1,2021-09-01T00:00:00.000+02:00
113214.851,1,2021-10-01T00:00:00.000+02:00
113645.855,1,2021-11-01T00:00:00.000+01:00
113381.266,1,2021-12-01T00:00:00.000+01:00
113756.302,1,2022-01-01T00:00:00.000+01:00
114078.386,1,2022-02-01T00:00:00.000+01:00
114266.741,1,2022-03-01T00:00:00.000+01:00
114289.777,1,2022-04-01T00:00:00.000+02:00
114342.317,1,2022-05-01T00:00:00.000+02:00
